,string,count,group
838,Institute for Quantum Computing,41,institute for quantum computing
839,Selwyn Chihong Mining Limited,41,selwyn chihong mining limited
840,Canadian Gaming Association,41,canadian gaming association
841,Olin Canada ULC,41,olin canada ulc
842,The Canada Life Assurance Company,41,the canada life assurance company
843,BP Canada Energy Group,41,bp canada
844,Nobel Women's Initiative,41,nobel women's initiative
845,University of Toronto,41,university of toronto
846,Canadian Football League,41,canadian football league
847,Mood Disorders Society of Canada,41,mood disorders society of canada
848,"Huawei Technologies Canada Co., Ltd.",41,"huawei technologies canada co., ltd."
849,Jet Metal Corp.,41,jet metal corp.
850,Catalyst Capital Group,41,catalyst capital group
851,Canada’s National Firearms Association,40,canada's national firearms association
852,Pharmascience Inc.,40,pharmascience inc
853,API Labs Inc,40,api labs inc
854,National Aboriginal Capital Corporations Association (NACCA),40,national aboriginal capital corporations association (nacca)
855,VISA Canada Corporation,40,visa canada corporation
856,Canadian Network Operators Consortium Inc.,40,canadian network operators consortium
857,Association of Canadian Distillers (Spirits Canada),40,association of canadian distillers
858,Haudenosaunee Development Institute,40,haudenosaunee development institute
859,Association of University Research Parks Canada,40,association of university research parks canada
860,Jewish Community Centre of Greater Vancouver,40,jewish community centre of greater vancouver
861,CANADIAN ASSOCIATION OF PETROLEUM PRODUCERS,40,canadian association of petroleum producers
862,The Financial Advisors Association of Canada,40,the financial advisors association of canada
863,Sanofi Pasteur,39,sanofi pasteur
864,Canadian Federation of Musicians,39,canadian federation of musicians
865,British Columbia Ferry Services Inc.,39,british columbia ferry services inc.
866,Edmonton Global,39,edmonton global
867,Drone Delivery Canada,39,drone delivery canada
868,The Omega Foundation,39,the omega foundation
869,Fraser River Pile & Dredge (GP) Inc.,39,fraser river pile & dredge (gp) inc.
870,Canadian Mushroom Growers Association,39,canadian mushroom growers association
871,Pratt & Whitney Canada Corp.,39,pratt & whitney canada
872,Canada World Youth,39,canada world youth
873,Japan Automobile Manufacturers Association of Canada (JAMA Canada),38,japan automobile manufacturers association of canada (jama canada)
874,Mechanical Contractors Association of Canada,38,mechanical contractors association of canada
875,ThyssenKrupp Marine Systems Canada Inc.,38,thyssenkrupp marine systems canada inc.
876,Saputo inc.,38,saputo inc.
877,Heritage Gas Limited,38,heritage gas limited
878,LeadNow Society,38,leadnow society
879,Canadian Music Publishers Association (operating as Music Publishers Canada),38,canadian music publishers association
880,Pacific NorthWest LNG,38,pacific northwest lng
881,Newmont North America,38,newmont north america
882,The Ontario Lung Association,38,the ontario lung association
883,Xstrata Nickel,38,xstrata nickel
884,Transat AT,38,transat a.t inc
885,Minas Basin Pulp and Power Company Limited,38,minas basin pulp and power company limited
886,Canadian Institute of Steel Construction,38,canadian institute of steel construction
887,Cogeco Inc.,37,cogeco inc.
888,Canadian Medical Cannabis Council,37,canadian medical cannabis council
889,Canadian Independent Petroleum Marketers Association,37,canadian independant petroleum marketers association
890,Parachute - Leaders in injury prevention,37,parachute - leaders in injury prevention
891,Science World British Columbia,37,science world british columbia
892,CANADIAN ASSOCIATION OF OCCUPATIONAL THERAPISTS(CAOT),37,canadian association of occupational therapists
893,"Real Jobs, Real Recovery Coalition",37,"real jobs, real recovery coalition"
894,Canadian Sheep Federation,37,canadian sheep federation
895,Entertainment One Ltd.,37,entertainment one canada ltd.
896,"Heating, Refrigeration & Air Conditioning Institute of Canada",37,"heating, refrigeration & air conditioning institute of canada"
897,GILDAN ACTIVEWEAR INC.,37,gildan activewear inc.
898,Canadian Association of Film Distributors and Exporters,37,canadian association of film distributors and exporters
899,Entertainment One Ltd,37,entertainment one canada ltd.
900,Food & Consumer Products of Canada,37,food and consumer products of canada
901,Actavis Pharma Company,37,actavis pharma company
902,Canadian Federation of Forest Owners,37,canadian federation of forest owners
903,Toyota Canada Inc. (through Casacom),36,toyota canada inc.
904,Toronto Regional Real Estate Board,36,toronto regional real estate board
905,the Canadian Vaping Association,36,the canadian vaping association
906,Alectra Corporation,36,alectra corporation
907,Alamos Gold Inc.,36,alamos gold inc
908,Canadian Coalition for Good Governance,36,canadian coalition for good governance
909,Canadian Federation of Nurses Unions,36,canadian federation of nurses unions
910,International Boreal Conservation Campaign (formerly Canadian Boreal Initiative),36,international boreal conservation campaign
911,Bruce Power L.P.,36,bruce power
912,Novartis Pharmaceuticals Canada Inc.,36,novartis pharmaceuticals canada inc.
913,Motorcyclists Confederation of Canada,36,motorcyclists confederation of canada
914,Canadian Homeopathic Pharmaceutical Association,36,canadian homeopathic pharmaceutical association
915,Canadian Public Works Association,36,canadian public works association
916,Wild Salmon Forever Society,36,wild salmon forever society
917,Canadian Breast Cancer Network,36,canadian breast cancer network
918,EDF - EN Canada Inc.,36,edf renewables development inc.
919,Canon Canada Inc.,35,canon canada inc.
920,"SOCAN (the Society of Composers, Authors and Music Publishers of Canada)",35,"socan (the society of composers, authors and music publishers of canada)"
921,CSA Group,35,csa group
922,City of Victoria,35,city of victoria
923,Sustainability CoLab,35,sustainability colab
924,Globalive Wireless Management Corp.,35,globalive wireless management corp
925,Consumer Technology Association,35,consumer technology association
926,Tax-Filer Empowerment Canada,35,tax-filer empowerment canada
927,LABATT BREWERIES OF CANADA,35,labatt breweries of canada
928,Canadian Council of Grocery Distributors (CCGD),35,canadian council of grocery distributors
929,Alberta Barley,35,alberta barley
930,Mines Action Canada,35,mines action canada
931,YWCA Canada,35,ywca canada
932,Thrive Health Inc.,35,thrive health inc.
933,Tahoe Resources Inc.,35,tahoe resources inc.
934,National Association  of Friendship Centres,35,national association of friendship centres
935,Tenaris Global Services (Canada) Inc,34,tenaris global services (canada) inc
936,Intuit Canada,34,intuit canada
937,Ceridian Canada Ltd.,34,ceridian canada ltd.
938,North Atlantic Refinery Ltd.,34,north atlantic refinery ltd.
939,Canadian Renewable Fuels Association,34,canadian renewable fuels association
940,Hansell LLP,34,hansell llp
941,Canadian Solar Solutions Inc.,34,canadian solar
942,MONSANTO CANADA INC.,34,monsanto canada inc
943,Airbnb Ireland UC,34,airbnb
944,Ultra Electronics TCS Inc.,34,ultra electronics tcs
945,COALITION FOR CANADIAN ASTRONOMY,34,coalition for canadian astronomy
946,Quebec Center for Environmental Law,34,quebec center for environmental law
947,Kluane First Nation,34,kluane first nation
948,Medicago Inc,34,medicago inc
949,Canadian AIDS Society,34,canadian aids society
950,Westport Fuel Systems Canada Inc.,34,westport fuel systems canada inc.
951,Shopify Inc.,34,shopify inc.
952,Dechinta Centre for Research and Learning,34,dechinta centre for research and learning
953,National Marine Manufacturers Association,34,national marine manufacturers association
954,Alberta Sugar Beet Growers,34,alberta sugar beet growers
955,Alliance for Safe Online Pharmacies,34,alliance for safe online pharmacies
956,Brain Canada,34,brain canada
957,McNeil Consumer Healthcare,34,mcneil consumer healthcare
958,Symvivo Corporation,34,symvivo corporation
959,Canadian Importers 9948 Fair Treatment Coalition,34,canadian importers 9948 fair treatment coalition
960,Airbus Group,33,airbus
961,Pitney Bowes of Canada LTD,33,pitney bowes canada
962,CERBE Distributing Inc.,33,cerbe distributing inc.
963,Greengate Power Corporation,33,greengate power corporation
964,BMO FINANCIAL GROUP,33,bmo financial group
965,Animal Nutrition Association of Canada,33,animal nutrition association of canada
966,"Ocean Spray International, Inc.",33,"ocean spray cranberries, inc."
967,HSBC BANK CANADA,33,hsbc bank canada
968,Canadian Energy Efficiency Alliance,33,canadian energy efficiency alliance
969,DCNS,33,dcns
970,Le Devoir,33,le devoir
971,Wine Growers Canada,33,wine growers canada
972,DIRECT SELLERS ASSOCIATION OF CANADA,33,direct sellers association
973,Law Society of Ontario,33,law society of ontario
974,Hotel Association of Canada,33,hotel association of canada
975,Quebecor Inc.,33,quebecor inc.
976,York Region,33,york region
977,Canadian Association for Long-Term Care,33,canadian association for long term care
978,Evidence for Democracy,33,evidence for democracy
979,Credit Union Central Alberta Ltd.,33,credit union central alberta ltd.
980,Cement Association of Canada,33,cement association of canada
981,Japanese Auto Manufacturers Association (JAMA) Canada,33,japanese auto manufacturers association (jama) canada
982,Fuel Cell Electric Vehicle (FCEV) Coalition through Fasken Martineau DuMoulin LLP,33,fuel cell electric vehicle (fcev) coalition through fasken martineau dumoulin llp
983,Toyota Motor Manufacturing Canada Inc.,33,toyota canada inc.
984,Ontario Home Builders' Association,33,ontario home builders' association
985,Progressive Contractors Association of Canada,32,progressive contractors association of canada
986,TECHNATION,32,technation
987,Citizens' Climate Lobby Canada,32,citizens' climate lobby canada
988,Canadian Business Aviation Association,32,canadian business aviation association
989,Information Technology Association of Canada,32,information technology association of canada
990,Indigo Books and Music,32,indigo books and music
991,Freight Management Association of Canada,32,freight management association of canada
992,Canadian Organic Growers,32,canadian organic growers
993,Canadian Association of Amusement Operators,32,canadian association of amusement operators
994,Canadian Turkey Marketing Agency C.O.B. as Turkey Farmers of Canada,32,canadian turkey marketing agency c.o.b. as turkey farmers of canada
995,Vancouver Organizing Committee for the 2010 Olympic and Paralympic Winter Games -,32,vancouver organizing committee for the 2010 olympic and paralympic winter games -
996,Armatec Survivability,32,armatec survivability
997,John Deere ULC,32,john deere limited
998,Canadian Council for Refugees,32,canadian council for refugees
999,RE:Sound Music Licensing Company,32,re:sound
1000,Mohawk College,32,mohawk college
1001,Grey Wolf Animal Health Inc.,32,grey wolf animal health inc.
1002,Quebec Port Authority,32,quebec port authority
1003,Leica Geosystems Ltd.,32,leica geosystems ltd.
1004,Canadian Hockey League,32,canadian hockey league
1005,Hope Bay Mining Limited,32,hope bay mining limited
1006,Just For Laughs Festival,32,just for laughs festival
1007,National Circus School,32,national circus school
1008,Baffinland Iron Mines Corporation,32,baffinland iron mines corporation
1009,British Columbia Dairy Association,32,bc dairy association
1010,"Heico 2004 Member, Inc.",32,"heico 2004 member, inc."
1011,Canadian Association of Midwives,32,canadian association of midwives
1012,Automotive Parts Manufacturers' Association,32,automotive parts manufacturers' association
1013,Atlantic Central,32,atlantic central
1014,BHP Billiton Limited,31,bhp
1015,"Genworth Financial, Inc. (via contract with Blake, Cassels & Graydon LLP)",31,genworth financial (canada)
1016,UFC Ultimate Fighting Championship,31,ufc ultimate fighting championship
1017,Atlantic Policy Congress of First Nations Chiefs Secretariat,31,atlantic policy congress of first nations chiefs secretariat
1018,Supply Chain Management Association,31,supply chain management association
1019,Candu Energy Inc.,31,candu energy inc.
1020,Winnipeg Airports Authority Inc.,31,winnipeg airports authority inc.
1021,Ni'Akinde Consortium GP Inc.,31,ni'akinde consortium gp inc.
1022,Canadian Construction Innovations,31,canadian construction innovations
1023,Taseko Mines,31,taseko mines
1024,PotashCorp,31,potash corporation of saskatchewan inc.
1025,International Institute for Sustainable Development,31,international institute for sustainable development
1026,Canadian Tourism Human Resource Council,31,canadian tourism human resource council
1027,National Optics Institute (INO),31,national optics institute (ino)
1028,Canadian Hydrogen and Fuel Cell Association,31,canadian hydrogen and fuel cell association
1029,Assaulted Women’s Helpline,31,assaulted women's helpline
1030,Greyhound Canada Transportation Corporation,31,greyhound canada
1031,Leonardo DRS Technologies Canada Ltd.,31,leonardo
1032,Chiefs of Ontario,31,chiefs of ontario
1033,AMD Medicom Inc.,30,amd medicom inc.
1034,Canadian Publishers' Council,30,canadian publishers council
1035,Arctic Gateway Group AGG,30,arctic gateway group agg
1036,Kids U Inc.,30,kids u inc.
1037,Canada Goose Inc.,30,canada goose inc.
1038,PayPal,30,paypal
1039,TikTok Technology Canada Inc.,30,tiktok canada
1040,FRUIT & VEGETABLE DISPUTE RESOLUTION CORPORATION,30,fruit and vegetable dispute resolution corporation
1041,Coalition for the Diversity of Cultural Expressions,30,coalition for the diversity of cultural expressions
1042,Canadian Renewable Energy Association,30,canadian renewable energy association
1043,Iogen Bio-Products Corporation,30,iogen corporation
1044,Cruise Lines International Association - North West & Canada,30,cruise lines international association
1045,"General Dynamics Land Systems-Canada (via contract with Blake, Cassels & Graydon LLP‎)",30,"general dynamics land systems-canada (via contract with blake, cassels & graydon llp)"
1046,Christian Labour Association of Canada,30,christian labour association of canada
1047,Northern Gateway Pipeline,30,northern gateway pipeline
1048,Synaptive Medical Inc.,30,synaptive medical
1049,Canadian Life and Health Insurance Association,30,canadian life and health insurance association
1050,Indivior Canada Ltd.,30,indivior canada ltd.
1051,The National Benefit Authority Corporation,30,the national benefit authority
1052,Mechtronix Systems Inc.,30,mechtronix systems inc.
1053,Lundbeck Canada Inc.,30,lundbeck canada inc.
1054,Intuit Inc.,30,intuit canada
1055,Edmonton Regional Airports Authority,29,edmonton airports
1056,Sharp Electronics of Canada Ltd.,29,sharp electronics of canada ltd.
1057,Canadian Council of Snowmobile Organizations,29,canadian council of snowmobile organizations
1058,Fednav Limited,29,fednav
1059,Re:Sound,29,re:sound
1060,BHP Canada Inc.,29,bhp
1061,China Construction Bank,29,china construction bank
1062,"The Energy & Minerals Group, LP",29,"the energy & minerals group, lp"
1063,Medicago Inc.,29,medicago inc
1064,dosist,29,dosist
1065,Special Olympics Canada,29,special olympics canada
1066,Québec Employers Council,29,quebec employers council
1067,Rideau Institute,29,rideau institute
1068,Ultra Electronics TCS,29,ultra electronics tcs
1069,"Uber Canada, Inc.",29,uber canada inc.
1070,IATSE - International Alliance of Theatrical Stage Employees,29,iatse - international alliance of theatrical stage employees
1071,Canadians for Camping,29,canadians for camping
1072,Association of Home Appliance Manufacturers,29,association of home appliance manufacturers
1073,CANADIAN LIGHT SOURCE INC.,29,canadian light source inc.
1074,Association of Canadian Distillers/Spirits Canada,29,association of canadian distillers
1075,Wal-Mart Canada Inc.,29,wal-mart canada inc.
1076,Porsche Business Services Inc.,29,porsche
1077,Business Coalition for Balanced Copyright,28,business coalition for balanced copyright
1078,167395 Canada Inc. PA Super Marche,28,167395 canada inc. pa super marche
1079,AbCellera Biologics Inc.,28,abcellera biologics inc.
1080,The Banff Centre,28,the banff centre
1081,Enerkem Inc.,28,enerkem
1082,Ontario Ginseng Growers Association,28,ontario ginseng growers association
1083,National Ballet of Canada,28,national ballet of canada
1084,Genworth Financial (Canada),28,genworth financial (canada)
1085,SSi Micro,28,ssi micro
1086,CAE Inc.,28,cae inc.
1087,Canadian Paraplegic Association,28,canadian paraplegic association
1088,Canadian Wind Energy Association (CanWEA),28,canadian wind energy association
1089,Cascade Aerospace Inc,28,cascade aerospace inc
1090,Dassault Aviation,28,dassault aviation
1091,Aqua Forum/AquaHacking,28,aqua forum
1092,Distribution PA Canada Inc.,28,distribution pa canada inc.
1093,Let Me Compete!,28,let me compete!
1094,Canadian Association of Agri-Retailers,28,canadian association of agri-retailers
1095,Lulu Island Winery Inc.,28,lulu island winery inc.
1096,Stewart World Port Services Ltd.,28,stewart world port services ltd.
1097,Fraser Surrey Docks LP,28,fraser surrey docks lp
1098,Inerjys Ventures Inc.,28,inerjys ventures inc.
1099,CABiNET,28,cabinet
1100,The Belinda Stronach Foundation,28,the belinda stronach foundation
1101,Public Mobile Inc.,28,public mobile inc.
1102,COMPOSITE PANEL ASSOCIATION,28,composite panel association
1103,Opus One Solutions,28,opus one solutions
1104,Maritime Iron Inc.,28,maritime iron inc.
1105,Qualcomm Incorporated,28,qualcomm incorporated
1106,Netflix Inc,27,netflix
1107,The Co-operators Group Ltd.,27,the co-operators group limited
1108,Enhance Energy Inc,27,enhance energy inc
1109,Canadian Association of Mutual Assurance Companies,27,canadian association of mutual insurance companies
1110,Air Canada Pilots Association MC,27,air canada pilots association
1111,Association of Justice Counsel,27,association of justice counsel
1112,Alderon Iron Ore Corp.,27,alderon iron ore corp
1113,Life Sciences Ontario,27,life sciences ontario
1114,Lactalis Canada Inc.,27,lactalis canada inc.
1115,Canada Pork International,27,canada pork international
1116,New Gold Inc.,27,new gold inc.
1117,Huu-ay-aht First Nation,27,huu-ay-aht first nation
1118,"Square, Inc.",27,square inc.
1119,Canadian Life and Health Insurance Compensation Corporation,27,canadian life and health insurance compensation corporation
1120,Electronic Transactions Association,27,electronic transactions association
1121,LinkedIn Technology Canada Inc,27,linkedin technology canada inc
1122,Center for Science in the Public Interest,27,center for science in the public interest
1123,The Atmospheric Fund,27,the atmospheric fund
1124,Canada's Digital Technology Supercluster,27,canada's digital technology supercluster
1125,The Quebec Forest Industry Council,27,the quebec forest industry council
1126,EDF Renewables Development Inc.,27,edf renewables development inc.
1127,Agropur cooperative,27,agropur cooperative
1128,Canadian Composites Manufacturing R&D Inc.,27,canadian composites manufacturing r&d inc.
1129,Fasken Martineau DuMoulin LLP,27,fasken martineau dumoulin llp
1130,Chorus Aviation Inc.,27,chorus aviation
1131,Vancouver Airport Authority,27,vancouver airport authority
1132,Coalition of Canadian Independent Craft Brewers,27,coalition of canadian independent craft brewers
1133,Apache Kitimat Upstream,27,apache kitimat upstream
1134,Tides Canada,27,tides canada
1135,Pieridae Energy Limited,27,pieridae energy
1136,C.T.S. Food Brokers Inc.,27,c.t.s. food brokers inc.
1137,CGI,26,cgi
1138,Iridium Satellite Canada Limited,26,iridium satellite canada limited
1139,Prepr Foundation,26,prepr foundation
1140,Assiniboine Park Conservancy Inc.,26,assiniboine park conservancy inc.
1141,SAS Institute Inc. (Canada),26,sas institute inc. (canada)
1142,Teekay Shipping (Canada) Ltd.,26,teekay shipping (canada) ltd
1143,Foundation for Black Communities,26,foundation for black communities
1144,Seafarers’ International Union of Canada,26,seafarers' international union of canada
1145,Mettrum Health Corp.,26,mettrum health corp.
1146,Equal Voice,26,equal voice
1147,Samsung Renewable Energy Inc.,26,samsung renewable energy inc.
1148,MNP,26,mnp
1149,Toronto Symphony Orchestra,26,toronto symphony orchestra
1150,RGA Life Reinsurance Company of Canada,26,rga life reinsurance company of canada
1151,"SpringBoard West Innovations, Inc.",26,"springboard west innovations, inc."
1152,Northern Ontario School of Medicine,26,northern ontario school of medicine
1153,JBS Food Canada Inc.,26,jbs food canada inc.
1154,Miziwe Biik Aboriginal Employment & Training,26,miziwe biik aboriginal employment & training
1155,Macchi Distributions Inc.,26,macchi distributions inc.
1156,"CORPORATION OF THE COUNCIL OF MINISTERS OF EDUCATION, CANADA (THE)",26,"corporation of the council of ministers of education, canada (the)"
1157,Heddle Marine Service Inc.,26,heddle marine service inc.
1158,True Patriot Love Foundation,26,true patriot love foundation
1159,Terrestrial Energy Inc.,26,terrestrial energy inc.
1160,Canadian Palliative Hospice Care Assocation,26,canadian palliative hospice care assocation
1161,Manitoba Keewatinowi Okimakanak (MKO),26,manitoba keewatinowi okimakanak (mko)
1162,Helmets to Hardhats,26,helmets to hardhats
1163,Takeda Canada Inc.,26,takeda canada inc.
1164,Banff Centre for Arts and Creativity,26,banff centre for arts and creativity
1165,Canadian National Millers Association,26,canadian national millers association
1166,Canada Coal Inc.,26,canada coal inc.
1167,CANADIAN VEHICLE MANUFACTURERS' ASSOCIATION,26,canadian vehicle manufacturer's association
1168,Munich Life Management Company,26,munich life management company
1169,Moltex Energy Canada Inc.,26,moltex energy canada inc
1170,GNL Quebec,25,gnl quebec
1171,General Dynamics Ordnance and Tactical Systems,25,general dynamics canada
1172,GlaxoSmithKline Inc.,25,glaxosmithkline
1173,Aireon Canada Limited,25,aireon canada limited
1174,Pratt & Whitney Canada Corp,25,pratt & whitney canada
1175,Celestica,25,celestica
1176,Canadian Association of Accredited Mortgage Professionals,25,canadian association of accredited mortgage professionals
1177,The Archdiocese of Toronto,25,the archdiocese of toronto
1178,Mercy For Animals Canada,25,mercy for animals canada
1179,Mississaugas of Scugog Island First Nation (MSIFN),25,mississaugas of scugog island first nation (msifn)
1180,Canopy Growth,25,canopy growth
1181,Quota Allocation Working Group,25,quota allocation working group
1182,MedReleaf,25,medreleaf
1183,The Nature Conservancy of Canada,25,the nature conservancy of canada
1184,Pyromaître Inc.,25,pyromaitre inc.
1185,Bayer Inc.,25,bayer inc.
1186,U.S. Television Coalition,25,u.s. television coalition
1187,Climate Change and Emissions Management (CCEMC) Corporation,25,climate change and emissions management corporation
1188,Integrated CO2 Network (ICO2N),25,integrated co2 network (ico2n)
1189,Fraser Valley Real Estate Board,25,fraser valley real estate board
1190,GreenCentre Canada,25,greencentre canada
1191,Lockheed Martin Canada,25,lockheed martin aeronautics co.
1192,Canadian Animal Health Institute,25,canadian animal health institute
1193,AdTrack Media,25,adtrack media
1194,International Boreal Conservation Campaign (via contract with Ducks Unlimited Inc),25,international boreal conservation campaign
1195,Swiss Reinsurance Company Ltd.,25,swiss reinsurance company ltd
1196,Edmonton Airports,25,edmonton airports
1197,Canadian Association of Fire Chiefs,25,canadian association of fire chiefs
1198,Optiv Canada,25,optiv canada
1199,Christian Medical and Dental Society of Canada,25,christian medical and dental society of canada
1200,Ballard Power Systems,25,ballard power systems
1201,NextEra Canada Development LP,25,nextera canada development lp
1202,Power Workers' Union,25,power workers' union
1203,Gairdner Foundation,25,gairdner foundation
1204,Innovative Medecines Canada,25,innovative medicines canada
1205,exactEarth Ltd.,25,exactearth ltd.
1206,Canadian Oilseed Processors Association,25,canadian oilseed processors association
1207,dairy farmers of canada,24,dairy farmers of canada
1208,Molson Canada 2005,24,molson canada
1209,ole Media Management,24,ole media management
1210,Global Container Terminals,24,global container terminals
1211,KGHM-Ajax Mining Inc.,24,kghm ajax mining inc.
1212,National Hockey League,24,national hockey league
1213,Google Canada,24,google canada
1214,Athabasca Chipewyan First Nation,24,athabasca chipewyan first nation
1215,Electra Meccanica Vehicles Corp,24,electra meccanica
1216,Canadian Community Economic Development Network,24,canadian community economic development network
1217,ALLIANCE DES RADIOS COMMUNAUTAIRES DU CANADA,24,alliance des radios communautaires du canada
1218,Optel Group,24,optel group
1219,Tidewater Midstream and Infrastructure Ltd,24,tidewater midstream and infrastructure ltd
1220,Canada Clean Fuels,24,canada clean fuels
1221,Judith Marcuse Projects,24,judith marcuse projects
1222,National Trails Coaltion,24,national trails coaltion
1223,Alaska-Alberta Railway Development Corporation (A2A Rail),24,alaska-alberta railway development corporation (a2a rail)
1224,CAAT Pension Plan,24,caat pension plan
1225,Ontario Processing Vegetable Growers,24,ontario processing vegetable growers
1226,The Calgary Airport Authority,24,calgary airport authority
1227,Keewaytinook Okimakanak,24,keewaytinook okimakanak
1228,Geloso Group,24,geloso group
1229,Trent University,24,trent university
1230,Statoil Canada Ltd.,24,statoil canada ltd.
1231,Inuit Development Corporation Association,24,inuit development corporation association
1232,BIOX Corporation,24,biox corporation
1233,World Anti-Doping Agency,24,world anti-doping agency
1234,EDMONTON STEEL PLATE LTD.,24,edmonton steel plate ltd.
1235,D2L Corporation,24,d2l corporation
1236,International Longshore and Warehouse Union - Canada,24,international longshore and warehouse union canada
1237,Western Indigenous Pipeline Group,24,western indigenous pipeline group
1238,Tenaris S.A.,24,tenaris global services (canada) inc
1239,Schering Plough Canada Inc.,24,schering plough canada inc.
1240,Social Capital Partners,24,social capital partners
1241,SASKATCHEWAN ASSOCIATION OF RURAL MUNICIPALITIES (SARM),24,saskatchewan association of rural municipalities
1242,Bilcon Of Delaware Inc,24,bilcon of delaware inc
1243,Semiahmoo First Nation,24,semiahmoo first nation
1244,D-Wave Systems,24,d-wave systems
1245,Pitney Bowes of Canada Ltd.,23,pitney bowes canada
1246,CommVault,23,commvault
1247,Prince Rupert Port Authority,23,prince rupert port authority
1248,Canada Mining Innovation Council,23,canada mining innovation council
1249,Lone Pine Resources Inc,23,lone pine resources inc
1250,WAL-MART CANADA INC.,23,wal-mart canada inc.
1251,Rolls-Royce Canada Limited,23,rolls-royce canada limited
1252,Dying With Dignity Canada,23,dying with dignity canada
1253,International Longshore and Warehouse Union Canada,23,international longshore and warehouse union canada
1254,La Capitale Financial Security Insurance Company,23,la capitale financial security insurance company
1255,World University Service of Canada (WUSC),23,world university service of canada (wusc)
1256,City of Trail,23,city of trail
1257,Canadian Council of the Blind,23,canadian council of the blind
1258,Fresh Air Educators,23,fresh air educators
1259,Benga Mining,23,benga mining
1260,Canadian Bank Note Company Limited,23,canadian bank note company limited
1261,"Saab Canada, Inc.",23,"saab canada, inc."
1262,ThyssenKrupp Marine Systems Canada inc.,23,thyssenkrupp marine systems canada inc.
1263,Canadian Air Traffic Control Association,23,canadian air traffic control association
1264,VMWare Inc.,23,vmware inc.
1265,First Nations Education Steering Committee,23,first nations education steering committee
1266,Certified Management Accountants of Canada,23,certified management accountants of canada
1267,Canadian Partnership Against Cancer,23,canadian partnership against cancer
1268,Mercy for Animals Canada,23,mercy for animals canada
1269,Portfolio Management Association of Canada,23,portfolio management association of canada
1270,Sequence Bio,23,sequence bio
1271,"Lafitte Ventures Ltd., dba Tilray",23,"lafitte ventures ltd., dba tilray"
1272,Terry Fox Research Institute,23,terry fox research institute
1273,Calgary Airport Authority,23,calgary airport authority
1274,Association of Iroquois and Allied Indians,23,association of iroquois and allied indians
1275,Encana Corporation,23,encana corporation
1276,"Tenable, Inc.",23,"tenable, inc."
1277,U-Battery Consortium via a contract with URENCO,22,u-battery canada limited
1278,Domtar Inc.,22,domtar inc.
1279,Eldorado Gold Corporation,22,eldorado gold corporation
1280,Canadian Craft Brewers Association,22,canadian craft brewers association
1281,North Coal Ltd.,22,north coal ltd.
1282,National Cattle Feeders'Association,22,national cattle feeders' association
1283,Rosenswig McRae Thorpe LLP,22,rosenswig mcrae thorpe llp
1284,Rajni Kassett,22,rajni kassett
1285,Humanity & Inclusion Canada,22,humanity & inclusion canada
1286,Kraft Heinz Canada ULC,22,kraft heinz canada ulc
1287,Anbaric Management Canada Inc.,22,anbaric management canada inc.
1288,Quebecor Media Inc.,22,quebecor inc.
1289,UNIVERSITY OF SASKATCHEWAN,22,university of saskatchewan
1290,Banff Television Festival Foundation,22,banff television festival foundation
1291,Wildlife Habitat Canada,22,wildlife habitat canada
1292,Tourism Industry Association of Canada (TIAC),22,tourism industry association of canada
1293,Pacific Northwest LNG,22,pacific northwest lng
1294,CLEAResult,22,clearesult
1295,Lakeview Community Partners Limited,22,lakeview community partners limited
1296,"Covanta Burnaby Renewable Energy, ULC",22,"covanta burnaby renewable energy, ulc"
1297,Prince's Trust Canada,22,prince's trust canada
1298,DJI Technology Inc,22,dji technology inc
1299,Ontario Fruit and Vegetable Growers Association,22,ontario fruit and vegetable growers association
1300,Boeing Global Sales Corporation,22,boeing
1301,ERS International,22,ers international
1302,Canadian Stem Cell Foundation,22,canadian stem cell foundation
1303,Kruger Inc.,22,kruger inc.
1304,Abortion Rights Coalition of Canada,21,abortion rights coalition of canada
1305,TikTok Canada,21,tiktok canada
1306,Aboriginal Peoples Television Network Incorporated,21,aboriginal peoples television network
1307,Carpenters' District Council of Ontario,21,carpenters' district council of ontario
1308,Tennis Canada,21,tennis canada
1309,SES S.A.,21,ses
1310,Genesee & Wyoming Canada Inc.,21,genesee & wyoming canada inc.
1311,Heli-One Canada ULC,21,heli-one canada ulc
1312,Mowi Canada,21,mowi canada
1313,Baxter Corporation,21,baxter corporation
1314,Bel Cheese Canada Inc.,21,bel cheese canada inc.
1315,Vancouver Airport Fuel Facilities Corporation (Through FSM Management Group),21,vancouver airport fuel facilities corporation (through fsm management group)
1316,Air North Partnership,21,air north
1317,Canadian Association of Pharmacy Distribution Management,21,canadian association of pharmacy distribution management
1318,Festivals and Major Events (FAME) Canada /,21,festivals and major events (fame)
1319,Can Art Aluminum Extrusion Inc.,21,can art aluminum extrusion inc.
1320,Ridley Terminals Users Group,21,ridley terminals users group
1321,Tree Island Steel,21,tree island steel
1322,TransCanada,21,tc energy
1323,"Airbus Defence & Space Canada, Inc.",21,airbus
1324,Halton Region,21,halton region
1325,BIE Health Products,21,bie health products
1326,Noront Resources Inc.,21,noront resources
1327,Reconciliation Inc.,21,reconciliation inc.
1328,Aqua Forum,21,aqua forum
1329,CANADIAN ANIMAL HEALTH INSTITUTE (CAHI),21,canadian animal health institute
1330,Canadian Coalition for Construction Steel (CCCS),21,canadian coalition for construction steel
1331,General Fusion Inc,21,general fusion inc
