string0,string1
International Crystal Federation,INTERNATIONAL CRYSTAL FEDERATION
Drummond Co,DRUMMOND CO
New Arcadian Networks,"New Arcadian Networks, Inc."
Quinn Gillespie & Assoc,QUINN GILLESPIE & ASSOC
Western Business Roundtable,WESTERN BUSINESS ROUNDTABLE
Phoenix Mutual Home Life Insurance,PHOENIX COS
Brown University,BROWN UNIVERSITY
Newport Investment Assoc,Newport Investment Associates
Postmates Inc,"Postmates, Inc."
Brown & Assoc,Brown & Associates
Levi Strauss & Co,Levi Strauss & Company
Fulcrum BioEnergy,"Fulcrum Bioenergy, Inc"
"Roos, Michael Y",Michael Roos
News America Publishing,NEWS AMERICA INC
Broadwing Communications,"BROADWING COMMUNICATIONS, INC"
American Exploration & Mining Assn,Northwest Mining Association
Southwest Airlines Pilots Assn,SOUTHWEST AIRLINES PILOT ASSOCIATION
LanzaTech Inc,LanzaTech Inc.
"City of Ocean Shores, WA","CITY OF OCEAN SHORES, WA"
Detroit-Windsor Truck Ferry,"DETROIT-WINDSOR TRUCK FERRY, INC"
Harold Ford Group,"The Harold Ford Group, LLC"
Israel Aircraft Industries,"ISRAEL AIRCRAFT INDUSTRIES INTERNATIONAL, INC"
Groundfish Forum,GROUNDFISH FORUM
Intuitive Surgical,"Intuitive Surgical, Inc."
Midwest Institute for Medical Education,MIDWEST INST FOR MEDICAL EDUCATION
Superior Aviation Beijing Co,"Superior Aviation Beijing Co. Ltd., No. 11, Jinghaisan Road"
Northern Illinois University,BOARD OF TRUSTEES - NORTHERN ILLINOIS UNIVERSITY
National Aneurysm Alliance,NATL ANEURYSM ALLIANCE
Gorski Healthcare Group,"Gorski Healthcare Group, LLC"
"Boland, James E Jr",MR. JAMES E. BOLAND
Compucredit Corp,COMPUCREDIT CORP
Colorado Springs Regional Business Alliance,COLORADO SPRINGS REGIONAL BUSINESS ALLIANCE
Lillian Plantation,"LILLIAN PLANTATION, LLC"
Housing Works,"HOUSING WORKS, INC"
American Plastics Council,AMERICAN PLASTICS CO
Equinor Gulf Services,"Statoil Gulf Services, LLC"
Informal Coalition (Small Business Lending),INFORMAL COALITION
Stranahan House,"PEDIATRIX MEDICAL GROUP, INC."
Advanced Security Systems AG,"Advanced Security Systems, AG"
Mortgage Investors Corp,MORTGAGE INVESTORS CORP
GE Consumer Products,GENERAL ELECTRIC APPLIANCES
EnergyNorthAmerica,EnergyNorthAmerica LLC
Louisiana State University,LSU FOUNDATION
IntercontinentalExchange Inc,"IntercontinentalExchange, Inc."
Airnet Systems,"AirNet Systems, Inc."
Manufacturing Woodworkers' Assn Grtr NY,MANUFACTURING WOODWORKERS ASSOCIATION OF GREATER NEW YORK INC
"City of Temecula, CA","CITY OF TEMECULA, CALIFORNIA"
Stemcyte Inc,STEMCYTE
OxiCool Inc,OxiCool
Brain Matters,BRAIN MATTERS INC
Agile Materials & Technologies,AGILE MATERIALS & TECHNOLOGIES
Widmeyer Communications,"WIDMEYER COMMUNICATIONS, INC"
Eurodif SA,EURODIF SA
Specialty Steel Industry of N America,Specialty Steel Industry of North America
Nielsen Media Research,NIELSEN MEDIA RESEARCH
J&R Engineering,J&R ENGINEERING
Trinity Industries,"Trinity Industries, Inc"
Epilepsy Foundation of America,EPILEPSY FOUNDATION OF AMERICA
Vizient Inc,VHA Inc.
Leger Strategies,"Leger Strategies, LLC"
Agway Inc,AGWAY
Abrams & Co Publishers,ABRAMS & COMPANY PUBLISHERS
Hofstra University,HOFSTRA UNIV
Intl Assn Amusement Parks & Attractions,INTL. ASSN. OF AMUSEMENT PKS. & ATTRS.
RBG Assoc,RBG ASSOC
DuPont Pharmaceuticals,DUPONT PHARMACEUTICALS
"City of Lompoc, CA","CITY OF LOMPOC, CA"
DNV GL USA,DNV GL USA INC
Adage LLC,ADAGE LLC
FALA Technologies Inc,Fala Technologies
American Preventitive Medical Assn,AMERICAN ASSN FOR HEALTH FREEDOM
Kronos Longevity Research Institute,KRONOS LONGEVITY RESEARCH INST
"Rosenthal, Jay",Jay Rosenthal
Burch & Co,"Burch & Co., Inc."
Haley & Assoc,HALEY & ASSOCIATES
Primeco Personal Communications,PRIMECO PERSONAL COMMUNICATIONS
Precision Machined Products Assn,Precision Machined Products Association
Hoffman Management,HOFFMAN MANAGEMENT
Northcrest Medical Center,NORTHCREST MEDICAL CENTER
Asahi Glass Products,ASAHI GLASS CO
National Art Materials Trade Assn,NATL ART MATERIALS TRADE ASSN
"Young, Philip M","YOUNG, PHILIP M."
Star Concessions,"Star Concessions, Ltd."
American Society of Transplant Surgeons,AMERICAN SOCIETY OF TRANSPLANT SURGEONS
Jack Ferguson Assoc,J.G. Ferguson & Associates LLC
Empi Inc,"EMPI, INC."
Americans for Peace Now,AMERICANS FOR PEACE NOW
Clorox Co,CLOROX CO
Jsolutions,JSOLUTIONS
National Assn of Govt Guaranteed Lenders,"NATIONAL ASSOCIATION OF GOVERNMENT GUARANTEED LENDERS, INC."
"Strom, Thaddeus E","STROM, THADDEUS E."
"Richter, Janice","RICHTER, JANICE"
Airborne System North America Inc,Airborne Systems North America Inc.
Block Engineering,BLOCK ENGINEERING LLC
"Zirkin, Nancy",Nancy Zirkin
Hispanic Assn of Colleges & Universities,HISPANIC ASSN OF COLLEGES & UNIVERSITIES
"Motherway, Megan L","MOTHERWAY, MEGAN L."
Clarian Health Partners,"Indiana University Health, Inc."
World Trade Center Properties,"World Trade Center Properties, LLC"
Weil Brothers-Cotton Inc,Weil Brothers-Cotton Incorporated
Air 4000,AIR 4000
Wilmington & Elwood School District,WILMINGTON SCHOOL DISTRICT 209U
IntelliDyne LLC,"IntelliDyne, LLC"
"Escambia County, FL","ESCAMBIA COUNTY, FL"
X-Ray Optical Systems,X-RAY OPTICAL SYSTEMS
Green Door,GREEN DOOR
US Ordnance,US ORDNANCE
Aircraft Services Group,AIRCRAFT SERVICES GROUP
Hunton & Williams,HUNTON & WILLIAMS LLP
Hughes Global Services,HUGHES GLOBAL SERVICES
Brown Rudnick LLP,"Brown, Rudnick et al"
Intl Assn Amusement Parks & Attractions,INTL ASSN OF AMUSEMENT PARKS & ATTRACTIONS
SYS Technologies,SYS TECHNOLOGIES
Dell Inc,DELL COMPUTER CORP
Mortgage Insurance Companies of America,MORTGAGE INSURANCE COS OF AMERICA
Independent Assn of Continental Pilots,INDEPENDENT ASSN OF CONTINENTAL PILOTS
Generic Pharmaceutical Assn,Generic Pharmaceutical Association
Lumber Manufacturers for Ethics & Equity,LUMBER MANUFACTURERS FOR ETHICS & EQUITY
Global Business Travel Assn,Global Business Travel Association
Hurst/Euless/Bedford Indep School Dist,HURST - EULESS - BEDFORD INDEP. SCHOOL DISTRICT
Sideview Partners,SIDEVIEW PARTNERS INC
University of North Carolina/Chapel Hill,THE UNIVERSITY OF NORTH CAROLINA
Tennessee Technological University,TENNESSEE TECHNOLOGICAL UNIVERSITY
"Otten, Johnson et al","OTTEN, JOHNSON, ROBINSON, NEFF & RAGONETTI"
United Rentals,UNITED RENTALS
Sorelle Group,SORELLE GROUP
"City of Concord, NC","CONCORD-NC, CITY OF"
Temasek Capital Management Pte,Temasek Capital Management Pte Ltd.
Polaris-Hutton Group,"Polaris-Hutton Group, LLC"
Central Piedmont Community College,CENTRAL PIEDMONT COMMUNITY COLLEGE
"Wasem, Carolyn","WASEM, CAROLYN"
Association of Oil Pipe Lines,ASSN OF OIL PIPE LINES
Boat People SOS,BOAT PEOPLE SOS
Seventh Day Adventist Church,SEVENTH DAY ADVENTIST CHURCH
"Holladay, UT",HOLLADAY UTAH
Koniag Inc,KONIAG INC
"Strumpf, Barry",Mr. Barry Strumpf
St James School Medicine,SAINT JAMES SCHOOL MEDICINE
"City of Burbank, CA","CITY OF BURBANK, CA"
Fisher Consulting,FISHER CONSULTING
Mirant Mid-Atlantic,MIRANT MID-ATLANTIC
Coca-Cola Co,"COCA-COLA ENTERPRISES, INC."
Association of Global Automakers,ASSOCIATION OF GLOBAL AUTOMAKERS
E-ON North America,EON AG
Image Online Design,"IMAGE ONLINE DESIGN, INC"
Applied Terravision Systems,APPLIED TERRAVISION SYSTEMS
"McDonald, Charles R","MCDONALD, CHARLES R"
Marriott International,"Marriott International, Inc."
Association of Art Museum Directors,ASSOCIATION OF ART MUSEUM DIRECTORS
Perspecta Inc,PERSPECTA INC. AND AFFILIATES
Southeastern Ohio Regional Medical Ctr,SOUTHEASTERN OHIO MEDICAL CENTER
Eastern Navajo Dine Agnst Uranium Mining,EASTERN NAVAJO DINE AGAINST URANIUM MINING
ABC Alabama,"Associated Builders and Contractors, Inc., Alabama Chapter"
Children's Museum of Indianapolis,The Children's Museum of Indianapolis
Wegmans Food Markets,"WEGMANS FOOD MARKETS, INC."
Distilled Spirits Council,DISTILLED SPIRITS COUNCIL OF THE U S INC
Conference/Educ Admins/Schls/Progs/Deaf,CONFERENCE OF EDUCATIONAL ADMINISTRATORS OF SCHOOLS & PROGRAMS FOR THE DEAF
American Public Human Services Assn,American Public Human Services Association
Cathedral Foundation of Jacksonville,"Cathedral Foundation of Jacksonville, Inc."
Ocean Champions,OCEAN CHAMPIONS
National Dairy Producers Org,"National Dairy Producers Organization, Inc."
General Motors,General Motors LLC
Visitalk.com,VISITALK.COM
Greater New Orleans Expressway Commission,GREATER NEW ORLEANS EXPRESSWAY COMMISSION
American Soc/Pension Prof & Actuaries,AMERICAN SOCIETY OF PENSION ACTUARIES
Monday Properties,MONDAY PROPERTIES SERVICES LLC
Ranchers-Cattlemen Action Legal Fund,R-CALF UNITED STOCKGROWERS OF AMERICA
Heartware Inc,"HeartWare, Inc."
Concierge Holdings,CONCIERGE HOLDINGS INC
Natl Narcotics Officers Assns Coalitions,National Narcotics Officers Associations' Coalition
CSA America,CSA AMERICA INC
Jones Co,"The Jones Company, LLC"
Flyer Defense,"FLYER DEFENSE, LLC"
Blue Cross/Blue Shield of Texas,BLUE CROSS BLUE SHIELD OF TEXAS
Southdown Inc,"SOUTHDOWN, INC"
Downtown Jackson Partners,"Downtown Jackson Partners, Inc."
Data-Disk Technology Inc,DATA-DISK TECHNOLOGY
National Ship Repair Coalition,NATIONAL SHIP REPAIR COALITION
Caterpillar Inc,"CATERPILLAR, INC"
Cheniere Energy,"Cheniere Energy, Inc."
Riverside Consulting,RIVERSIDE CONSULTING
St Joe Co,ST JOE CO
Sorenson Communications,"Sorenson Communications, LLC"
Earth Networks,EARTH NETWORKS
Aluminum Assn,ALUMINUM ASSN
Creative Technologies,"Creative Technologies, Inc."
Potash Corp of Saskatchewan,Potash Corporation of Saskatchewan Inc.
African Federal Group,AFRICANFEDERAL GROUP LLC
Criterion Systems,"Criterion Systems, Inc."
John G Shedd Aquarium,JOHN G. SHEDD AQUARIUM
Fashion Inst of Design & Merchandising,THE FASHION INSTITUTE OF DESIGN & MERCHANDISING
GELITA USA,Gelita USA Inc.
American Assn for Wound Care Management,American Association for Wound Care Management
Association of Public Safety Comm Officials Intl,ASSN OF PUBLIC SAFETY COMMUNICATIONS OFFICIALS INTL
Jamestown Board of Public Utilities,JAMESTOWN BOARD OF PUBLIC UTILITIES
Assn of Public Health Laboratories,ASSN OF PUBLIC HEALTH LAB
Koetter Woodworking,KOETTER WOODWORKING
Naegele Communications,NAEGELE COMMUNICATIONS
Government of the Democratic Republic of Congo,REPUBLIC OF CONGO
Travelers Companies,"TRAVELERS COS, INC"
Kelly & Weaver,"Kelly & Weaver, P.C."
Massillon Cable TV,MASSILON CABLE TV INC
American Automobile Assn,AMERICAN AUTOMOBILE ASSN
KQC Properties,KQC PROPERTIES
"Maynard, Cooper & Gale",MAYNARD COOPER & GALE
Century Design,CENTURY DESIGN
AbTech Industries,AB TECH INDUSTRIES
Transhumance Holding,Transhumance Holding Company
Massillon Cable TV,"MASSILON CABLE TV, INC"
McGowan & Co,MCGOWAN & CO INC
DLT Solutions,DLT SOLUTIONS
Ryan Erwin & Assoc,Ryan Erwin & Associates
Intelsat General Corp,INTELSAT GENERAL CORP.
Bituminous Coal Operators Assn,BITUMINOUS COAL OPERATORS' ASSN INC
TOTAL Petrochemicals,"TOTAL PETROCHEMICALS USA, INC."
New York State Dept of Transportation,NEW YORK STATE DEPT OF TRANSPORTATION
Refinance.com,REFINANCE COM
Send Relief,"Send Relief, Inc."
Law Offices of Kevin G Curtin,"CURTIN, LAW OFFICES OF KEVIN G."
Armenian Assembly of America,ARMENIAN ASSEMBLY OF AMERICA
American International Center,AMERICAN INTL CENTER
Computer & Communications Industry Assn,COMPUTER COMMUNICATIONS INDUSTRY ASSN
Anderson Tully Corp,ANDERSON-TULLY CORP
Mailing & Fulfillment Service Assn,Mailing and Fulfillment Service Association
USF Health Plan Conference Group,USFHP CONFERENCE
VF Corp,VF CORPORATION
Daylight Technology,DAYLIGHT TECHNOLOGY
Freemarkets Online,FREEMARKETS ONLINE
Edens Advisory,"Edens Advisory, LLC"
UMass Institute of Community Inclusion,UNIV OF MASSACHUSETTS INSTITUTE FOR COMMUNITY INCLUSION
Bernard Technologies,"BERNARD TECHOLOGIES, INC"
Eric R Sisser Inc,"SISSER, ERIC R. INC"
Methodist Hospital,METHODIST HOSPITAL
"Government of the Province of Alberta, Canada",GOVERNMENT OF ALBERTA DEPT OF INTERNATIONAL AND INTERGOVERNMENTAL RELATIONS
Total Administrative Services Corp,Total Administrative Services Corporation
Wayne E Glenn Assoc,WAYNE E GLENN ASSOCIATES
Energizer Battery Manufacturing,ENERGIZER BATTERY MANUFACTURING INC
Merck & Co,MERCK & CO
American Hotel & Motel Assn,AMERICAN HOTEL & LODGING ASSN
Gateway Casino Resorts,GATEWAY CASINO RESORTS
Veritas Advisors,"VERITAS ADVISORS, LLP"
MWW Group,MWW GROUP
ChemImage Corp,CHEMIMAGE INC
"Kingsley, Steven",Steven Kingsley
Van Pool Services,VPSI Inc.
OSI Pharmaceuticals,"OSI Pharmaceuticals, Inc."
Delta & Pine Land Co,DELTA & PINE LAND CO
Cameco Corp,Cameco Corporation
EWA Land Information Group,EWA LAND INFORMATION GROUP
Nextgen Equipage Fund,"NextGen Equipage Fund, LLC"
Polytech Ammunition,POLYTECH AMMUNITION COMPANY
Clint Hackney & Co,"HACKNEY & CO, CLINT"
Enron Wind Corp,ENRON WIND CORP
AM General Corp,AMGENERAL LLC
Afin Securities,AFIN SECURITIES
Hydrogenics Corp,HYDROGENICS
Western Data.Com,WESTERN DATACOM CO
Agriculture Ocean Transport Coalition,Agriculture Ocean Transportation Coalition
Children's Hospital of Alabama,CHILDRENS HOSPITAL OF ALABAMA
Shoshone Paiute Tribes of Duck Valley,SHOSHONE-PAIUTE TRIBES OF THE DUCK VALLEY RESERVATION
University of Arizona Health Network,The University of Arizona Health Network
International Derivatives Clearing Group,"International Derivatives Clearing Group, LLC"
Open Society Policy Center,"Open Society Policy Center, Inc."
EDP Renewables NA,EDP RENEWABLES NORTH AMERICA LLC PREVIOUSLY REPORTED AS HORIZON WIND ENERGY LLC
Northwestern Mutual Life Insurance,THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY
Deutsche Post World Net,"DEUTSCHE POST WORLD NET - USA, INC"
Hepatitis Foundation International,HEPATITIS FOUNDATION INTERNATIONAL
NexusEdge Education,NexusEdge Education Inc.
Leidos Inc,"Leidos Holdings, Inc."
"Huff, Tom",Tom Huff
Olympic Services,OLYMPIC SERVICES
"Pacific County, WA","PACIFIC COUNTY, STATE OF WASHINGTON"
Maritime Investment Corp,MARITIME INVESTMENT CORP
Riverbank Power Corp,Riverbank Power Corporation
Ceres Inc,CERES INC
"City of Twentynine Palms, CA",CITY OF TWENTYNINE PALMS
Kellogg Co,KELLOGG CO
Kelly & Assoc,KELLY & ASSOC
Ultraprise.com,ULTRAPRISE.COM
Hittite Microwave,Hittite Microwave Corporation
Assn of Intl Automobile Manufacturers,ASSN OF INTL AUTOMOBILE MANUFACTURERS
Tahirih Justice Center,TAHIRIH JUSTICE CENTER
"Haver, Christopher","HAVER, CHRISTOPHER"
Twentynine Palms Water District,TWENTYNINE PALMS WATER DISTRICT
Board of Regents of Univ of Oklahoma,Board of Regents of the University of Oklahoma
American Assn/Intensive English Programs,AMERICAN ASSN OF INTENSIVE ENGLISH PROGRAMS
Arenda Industries,ARENA INDUSTRIES LLC
Western New York Healthcare Assn,WESTERN NEW YORK HEALTHCARE ASSOCIATION
Firmenich Inc,Firmenich Inc.
"Alix, Jay",Mr. Jay Alix
Youth Advocate Programs,"Youth Advocate Program, Inc."
American Apparel,AMERCIAN APPAREL
Open Range Communications,OPEN RANGE COMMUNICATIONS INC.
Tia Ginsberg & Assoc,"Tai Ginsberg & Associates, LLC"
Attorneys' Title Guaranty Fund,ATTORNEY'S TITLE GUARANTEE FUND
"Crotty, W William","CROTTY, W. WILLIAM"
S&P Global,S&P GLOBAL
Coalition to Preserve Retirement Scrty,COALITION TO PROMOTE U.S. AGRICULTURAL EXPORTS
Woodland Pulp,"Woodland Pulp, LLC"
Eastern Oklahoma State College,EASTERN OKLAHOMA STATE COLLEGE FOUNDATION
Houston Shell & Concrete,HOUSTON SHELL & CONCRETE
TCH Development Co,"TCH Development Company, LLC"
Vir-Sec,"Vir-Sec, Inc."
Meditrust Inc,MEDITRUST CORP
JRL Enterprises,JRL ENTERPRISES
Potomac Strategies & Analysts,POTOMAC STRATEGIES & ANALYSIS
California Asparagus Commission,CALIFORNIA ASPARAGUS COMMISSION
National Council of Agric Employers,NATL COUNCIL OF AGRICULTURAL EMPLOYERS
MHA Management Services,MHA Management Services Corporation
Graftech International,GRAFTECH INTERNATIONAL
Myomo Inc,"Myomo, Inc."
Lockheed Martin Space Systems,LOCKHEED MARTIN SPACE OPERATIONS CO
Academy of Managed Care Pharmacies,ACADEMY OF MANAGED CARE PHARMACY
SLM Corp,SLM CORPORATION
Grey Government Relations,"GREY GOVERNMENT RELATIONS, INC."
Coalitions for America,COALITIONS FOR AMERICA
ADP TotalSource,"ADP TotalSource, Inc."
"City of Rochester, NY",ROCHESTER-NY CITY OF
Van Ru Credit Corp,VAN RU CREDIT CORP
Gesconti Group,"Gesconti Group, Inc."
American Assn of Occup Health Nurses,AMERICAN ASSOCIATION OF OCCUPATIONAL HEALTH NURSES
Symrise AG,SYMRISE
Boysville,BOYSVILLE -- HOLYCROSS
"Township of Maplewood, NJ","Township of Maplewood, New Jersey"
Prayon Inc,Prayon Inc.
Community Service,COMMUNITY SERVICE LLC
Assn/State Dirs of Health Promotion/Educ,DIRECTORS OF HEALTH PROMOTION & EDUCATION
Personal Watercraft Industry Assn,PERSONAL WATERCRAFT INDUSTRY ADMINISTRATION
RSM US,RSM
Columbia University,TEENSCREEN PROGRAM COLUMBIA UNIVERSITY
Constellation Energy,CONSTELLATION ENERGY GROUP
Entergy-Koch Lp,ENTERGY-KOCH LP
Board of Freeholders of Cumberland Cnty,"BOARD OF FREEHOLDERS, COUNTY OF CUMBERLAND, NJ"
Logic Library,LOGIC LIBRARY
"McLean, Robert E","MCLEAN, ROBERT E."
Spark Institute,The Spark Institute
Keep the Change,KEEP THE CHANGE LLC
Jewelry Television,"Jewelry Television America's Collectibles Network, Inc"
"Davidoff, Malito & Hutcher",Davidoff Hutcher & Citron LLP
Barnes Kaufman,BARNES KAUFMAN
SRCTec,SRCTec Inc.
"City of Santa Monica, CA","SANTA MONICA-CA, CITY OF"
Asian American Hotel Owners Assn,ASIAN AMERICAN HOTEL OWNERS ASSOCIATION
Rural School & Community Trust,Rural School and Community Trust
Rehnquist Group,The Rehnquist Group PLLC
PLC Medical Systems,PLC MEDICAL SYSTEMS
American Foreign Service Assn,American Foreign Service Association
Key Entertainment Group,Key Entertainment Group Inc
"Intl Bridge, Tunnel & Turnpike Assn","INTERNATIONAL BRIDGE, TUNNEL & TURNPIKE ASSOCIATION"
Tenix Holdings,TENIX HOLDINGS
Columbus Assn for Performing Arts,COLUMBUS ASSN FOR PERFORMING ARTS
"Osumi, Yosaku",YOSAKU OSUMI
"Moss, McGee et al","Moss McGee Bradley, LLC"
Tennessee Public Transportation Assn,TENNESSEE PUBLIC TRANSPORTATION ASSOCIATION
Coalition for Fair & Affordable Lending,COALITION FOR FAIR AND AFFORDABLE LENDING
One Economy Corp,ONE ECONOMY CORPORATION
G&S Titanium,G&S Titanium Company
Schoolwires Inc,Schoolwires Inc.
Kantupan Holding,KANTUPAN HOLDING COMPANY
Landon Companies,LANDON COS
American Assn of Museums,American Association of Museums
Center for Reclaiming America,CENTER FOR RECLAIMING AMERICA
University of California/Irvine,"Regents of the University of California obo University of California, Irvine"
Port of Everett,PORT OF EVERETT
Capitol Ventures Government Relations,Capitol Ventures Government Relations LLC
Michigan Research Initiative,MICHIGAN RESEARCH INITATIVE
Ringley Policy Group,Ringley Potter Group
Turner Enterprises,"Turner Enterprises, Inc."
A-Kal Security,AKAL SECURITY INC
Beam Inc,"Fortune Brands, Inc."
Florida Society of Ambulatory Centers,FLORIDA SOCIETY OF AMBULATORY CENTERS
Sclumberger-Sema,SCLUMBERGER-SEMA
AgustaWestland,AGUSTAWESTLAND NORTH AMERICA INC
Depomed Inc,Depomed Inc.
Veeco Instruments Inc,VEECO INSTRUMENTS INCORPORATED
Archipelago Holdings,ARCHIPELAGO
Operation Respond Institute,OPERATION RESPOND INSTITUTE
North Dakota Motor Carriers Assn,NORTH DAKOTA MOTOR CARRIERS ASSOCIATION
Abundant Life Community Development Corp,ABUNDANT LIFE COMMUNITY DEVELOPMENT CORPORATION
Gerber Products Co,GERBER PRODUCTS COMPANY
"City of South El Monte, CA",City of South El Monte
Network Designs,"Network Designs, Inc"
Mh Systems,MH SYSTEMS
Domes International,DOMES INTL
Commercial Finance Assn,COMMERCIAL FINANCE ASSN
BTU Pipeline,BTU PIPELINE
First American Title Insurance,FIRST AMERICAN TITLE CO OF NEVADA
Battelle Memorial Institute,BATTELLE MEMORIAL INST
Constellation Pharmaceuticals,"Constellation Pharmaceuticals, Inc."
H&R Block,H & R Block
XOMA,"XOMA, LLC"
Sharon A Neely & Assoc,"NEELY & ASSOC, SHARON A."
Hughes Network Systems,HUGHES NETWORK SYSTEM
American Standard Development,AMERICAN STANDARD
"Hankin, Persson & Darnell",HANKIN PERSSON & DARNELL
"City of Westminster, CA",CITY OF WESTMINISTER
Cooper's Ferry Partnership,COOPER'S FERRY DEVELOPMENT ASSOCIATION
Iowa Pork Producers Assn,IOWA PORK PRODUCERS ASSN
Natl Assn of Criminal Defense Lawyers,NATL ASSN OF CRIMINAL DEFENSE LAWYERS
HFX Partners,HFX Patrners Inc
Hollrah LLC,HOLLRAH LLC
Goodwill Industries/South Mississippi,GOODWILL INDUSTRIES OF SOUTH MISSISSIPPI INC
Rescue Technologies,RESCUE TECHNOLOGIES CORP
Decision Lens,DECISON LENS
Amerityre Corp,AMERITYRE CORP
Modernization Forum,MODERNIZATION FORUM
Dairy Trade Coalition,The Dairy Trade Coalition
"Hanson, Bridgett et al",HANSON BRIDGETT MARCUS VLAHOS & RUDY LLP
Connecture Inc,Connecture Inc.
Glover Park Group,The Glover Park Group
DNV GL USA,DNV-GL
SDL Government,"SDL Government, Inc."
Phillips 66,PHILLIPS 66 COMPANY
KidsPeace,KIDSPEACE
American Flywheel Systems-Trinity,AFS Trinity
Tesoro Corp,"TESORO COMPANIES, INC."
Persad Center,"PERSAD CENTER, INC."
"Monsees, Hank",Hank Monsees
Ranken Jordan Pediatric Bridge Hospital,Ranken Jordan Pediatric Center
Sterling International,"Sterling International, Inc"
Premier Technology Inc,"PREMIER TECHNOLOGIES, INC."
Patriot Ordnance Factory USA,"Patriot Ordnance Factory USA, Inc."
FuelCell Energy,"FUELCELL ENERGY, INC"
Hybrivet Systems,Hybrivet Systems Inc.
Hoana Medical,"HOANA MEDICAL, INC."
Dutko Worldwide,DUTKO WORLDWIDE LLC
Orange County Clerk-Recorder Dept,ORANGE COUNTY CLERK-RECORDER DEPARTMENT
"McNeely, Pigott & Fox Public Relations",McNeely Pigott & Fox Public Relations
PepsiCo Inc,"PEPSICO, INC."
Nutanix Inc,Nutanix
North American Meat Assn,North American Meat Association
Assn of Marina Industries,Association of Marina Industries
Madison Government Affairs,MADISON GOVERNMENT AFFAIRS
Strategic Impact Inc/Univ of Arizona,STRATEGIC IMPACT INC IN AFFILIATION WITH UNIVERSITY OF ARIZONA
American Society for Blood & Marrow Transplant,American Society of Blood & Marrow Transplantation
"Jefferson County, AL Sheriff's Office",Jefferson County Sheriff's Office
National Pawnbrokers Assn,NATL PAWNBROKERS ASSN
Allsup Inc,"ALLSUP, INC"
"Coconino County, AZ",Coconino County
International Inst/Use of Micro-Algae,International Institution for the use of Micro-algae Spirulina Against Mlntrtn
Green Strategies,"Green Strategies, Inc"
Harry C Alford & Assoc,ALFORD & ASSOCIATES
Wyndsor Lighting,Wyndsor Lighting LLC
Voith Siemens Hydro Power Generation,VOITH SIEMENS HYRO POWER GENERATION INC
See Why Gerard,SEE WHY GERARD LLC
Bentall Residential,"Bentall Residental, LLC"
Hyperbaric Oxygen Therapy Assn,HYPERBARIC OXYGEN THERAPY ASSN
Association of International CPAs,AICPA Association of International Certified Professional Accountants
Moore Law Firm,MOORE LAW FIRM
Sporting Goods Manufacturers Assn,SPORTING GOODS MANUFACTURERS ASSN
O'Gara Co,O'GARA CO
"Bullhead City, AZ",CITY OF BULLHEAD CITY ARIZONA
International Buddhism Sangha Assn,The International Buddhist Sangha Association
Global Connect,GLOBAL CONNECT
Hewlett Packard Enterprise,Hewlett Packard Enterprise Company
"Francis, Edward & Cronin",FRANCIS EDWARD & CRONIN
Credit Union National Assn,CREDIT UNION NATIONAL ASSOCIATION
Travel Business Roundtable,TRAVEL BUSINESS ROUNDTABLE
National PTA,NATIONAL PTA
"Buck-Walsh, Tracey","BUCK-WALSH, TRACEY"
"Nemanich, Scott E",NEMANICH SCOTT E.
"Kadish, Lawrence",Lawrence Kadish
Energy Transfer Equity,"Energy Transfer Equity, L.P."
Ho-Chunk Nation,HO-CHUNK INDIAN NATION
SeniorLink,SENIORLINK
Texas Central High-Speed Railway,"Texas Central High-Speed Railway, LLC"
Continental Resources,CONTINENTAL RESOURCES
Consumers Union of the US,CONSUMERS UNION OF US INC
Artis,ARTIS LLC
National American Indian Housing Council,NATIONAL AMERICAN INDIAN HOUSING COUNCIL
Institute for Family Health,THE INSTITUTE FOR FAMILY HEALTH
Stratos Global,STRATOS GLOBAL CORP
Aveso Inc,AVESO INC
National Assn of Insurance & Financial Advisors,NATL ASSN OF INSURANCE & FINANCIAL ADVISORS
National Yogurt Assn,National Yogurt Association
Carrier Corp,CARRIER CORP
Von Tobel Institute,The Von Tobel Institute
Tilera Corp,Tilera Corporation
Chase Manhattan,JPMORGAN CHASE
Horizon Lines,"Horizon Lines, Inc"
North Star Scientific,NORTH STAR SCIENTIFIC
Educational Services of America,EDUCATION SERVICES OF AMERICA INC
Bracco Diagnostics,BRACCO DIAGNOSTIC INC
Molten Metal Technology,MOLTEN METAL TECHNOLOGY
Steven Winter Assoc,"WINTER ASSOC, STEVEN"
Qwest Communications,U.S. WEST
Mzeal Communications,mZEAL COMMUNICATIONS
Suncruz Casino,SUNCRUZ CASINO LLC
Pharmaceutical Research & Manufacturers of America,PHARMACEUTICAL RESEARCH & MANUFACTURERS ASSN
Oregon Health & Science University,OREGON HEALTH & SCIENCE UNIV
Pervasis Therapeutics,PERVASIS THERAPEUTICS
Innovative Energy Inc,Innovative Energy Incorporated
Coalition/End Childhood Lead Poisoning,COALITION TO END CHILDHOOD LEAD POISONING
Bucks County Water & Sewer Authority,BUCKS COUNTY WATER & SEWER AUTHORITY
Apotex Inc,Apotex Corporation
New Song Urban Ministries,NEW SONG URBAN MINISTRIES
Iowa State University,IOWA STATE UNIV
Dallas Institute,DALLAS INSTITUTE
Tri Star Airlines,TRI STAR AIRLINES
