string0,string1
Kinross Gold USA,"Kinross Gold U.S.A., Inc."
American Chiropractic Assn,Thomas Daly
Jewelers of America,JEWELERS OF AMERICA
Cotton Warehouse Assn of America,COTTON WAREHOUSE ASSN OF AMERICA
"Pima County, AZ",PIMA COUNTY
Antrad Medical,Antrad
Sempra International,"Sempra International, LLC"
International Union of Police Assn,"International Union of Police Associations, AFL-CIO"
Russ Reid Co,RUSS REID CORP
Arbros Communications,ARBROS COMMUNICATIONS INC
Smits Speidell Consulting,SMITS SPEIDELL CONSULTING
Thomspon Hospitality,THOMPSON HOSPITALITY
Remmele Engineering,REMMELE ENGINEERING
Tehama-Colusa Canal Authority,TEHAMA-COLUSA CANAL AUTHORITY
Gerdau Ameristeel Corp,Gerdau Ameristeel Corporation
123 ID Inc,123 ID INC
Association of Catastrophe Adjusters,ASSN OF CATASTROPHE ADJUSTERS
National Assn for Variable Annuities,NAVA INC
"City of Washington, DC",Government of the District of Columbia
Medical Lake School District,MEDICAL LAKE SCHOOL DISTRICT
Microsoft Corp,MICROSOFT CORPORATION
Project Management Institute,PROJECT MANAGEMENT INSTITUTE
Hanesbrands Inc,Hanesbrands Inc.
Interoperability Clearinghouse,INTEROPERABILITY CLEARINGHOUSE
Assn of Disposable Device Manufacturers,ASSN OF DISPOSABLE DEVICE MANUFACTURERS
Netjets Inc,NETJETS
Cathedral Foundation of Jacksonville,CATHEDRAL FOUNDATION OF JACKSONVILLE INC
Nature Conservancy/Arizona,THE NATURE CONSERVANCY- ARIZONA CHAPTER
Viridis Fuels,VIRIDIS
Independent Health Assn,"INDEPENDENT HEALTH ASSOCIATION, INC."
Northern Airlines,NORTHERN AIRLINES CORPORATION
FC Wireless,FC WIRELESS
American Library Assn,American Library Association - Office of Information Tech. Policy
Professional Golfers Assn of America,PROFESSIONAL GOLFERS ASSN OF AMERICA
Financial Oversight/Management Bd for Puerto Rico,Financial Oversight & Management Board of Puerto Rico
Primus Holdings,PRIMUS HOLDINGS LIMITED
"EM Warburg, Pincus & Co",WARBURG PINCUS LLC
Access Family,ACCESS FAMILY
Morris & Dickson,Morris And Dickson
DEDC Commonwealth of Puerto Rico,DEDC COMMONWEALTH OF PUERTO RICO
Internet Assn,The Internet Association
DCI Assoc,DCI ASSOCIATES
"Kleinbard, Bell & Brecker",KLEINBARD BELL & BRECKER
US Chamber Institute for Legal Reform,U.S. Chamber Institute for Legal Reform
Sasol North America,"SASOL NORTH AMERICA, INC."
Power Financial Corp,Power Financial
Food Nutrition & Policy Consultants,"Food, Nutrition & Policy Consultants, LLC"
Containerhouse International,"THOMAS W. SIKES, PRESIDENT, CONTAINERHOUSE"
M&M Solutions,M&M SOLUTIONS LLC
ElevatingHOME,ELEVATINGHOME
Kollsman Inc,"KOLLSMAN, INC."
Johnson Outdoors,"Johnson Outdoors, Inc."
General Nutrition Corp,General Nutrition Corporation
Sound & Sea Technology,SOUND & SEA TECHNOLOGY
Groden Center,The Groden Center
Newport News-Williamsburg Intl Airport,NEWPORT NEWS-WILLIAMSBURG INTERNATIONAL AIRPORT
Will Burt Inc,Will-Burt Company
Tobii DynaVox,"DynaVox Technologies, Inc."
Made in USA Strategies,MADE IN USA STRATEGIES LLC
L Robert Kimball & Assoc,L ROBERT KIMBALL & ASSOCIATES
Psychological Corp,PSYCHOLOGICAL CORPORATION
Charles Schwab & Co,CHARLES SCWABB & CO
Xtreme Spectrum,XTREMESPECTRUM
Suriname Ministry of Natural Resources,Bart S. Fisher obo Ministry of Natural Resources of the Republic of Suriname
AAL USA,"Black Hall Aerospace, Inc"
Williamsport Wirerope Works,WILLIAMSPORT WIREROPE WORKS
Intalco Aluminum Corp,INTALCO ALUMINUM CORP
Private Fuel Storage,PRIVATE FUEL STORAGE
Cathay Pacific Airway,CATHAY PACIFIC AIRWAY LTD.
National Healthcareer Assn,National Healthcareer Association
"City of Long Beach, CA",CITY OF LONG BEACH CALIFORNIA
Rolls-Royce North America,ROLLS-ROYCE NORTH AMERICA
Eric R Sisser Inc,"SISSER, ERIC"
"City of Newport Beach, CA",City of Newport Beach
Joint Commission on Accreditation/Healthcare Orgs,JOINT COMMISSION ON ACCREDITATION OF HEALTHCARE ORGANIZATION
USA Funds,"USA FUNDS, INC"
Mines Management Inc,MINES MANAGEMENT INC
"Gaston County, NC",GASTON CO
Children's Hospital Boston,"CHILDRENS HOSPITAL, BOSTON"
American Capital Inc,American Capital
"Thurman, Karen",Karen Thurman
Cook Group,COOK GROUP INC
Network Car,NETWORK CAR
Global Ecology Corp,Global Ecology Corporation
Zillow Inc,"ZILLOW GROUP, INC."
"Sheffer, Jana O",MRS. JANA SHEFFER
Blackboard Inc,Blackboard Inc.
Mdg Medical,MDG Medical
Dairy Fresh,DAIRY FRESH
Law Offices of James L Kane,"KANE, LAW OFFICES OF JAMES L."
SOS Global Express,SOS GLOBAL EXPRESS
"City of Miami Beach, FL",CITY OF MIAMI BEACH
Gannon International,GANNON INTERNATIONAL LTD
"City of Altamonte Springs, FL",CITY OF ALTAMONTE SPRINGS
Metropolitan Transportation Authority,METROPOLITAN TRANSPORTATION AUTHORITY OF NY
National Hockey League,NATL HOCKEY LEAGUE
Health Insurance Assn of America,HEALTH INSURANCE ASSN OF AMERICA
Crossroads Wireless,CROSSROADS WIRELESS INC
Deloitte & Touche,DELOITTE & TOUCHE
American Nephrology Nurses Assn,AMERICAN NEPHROLOGY NURSES ASSN
Chesapeake Energy,Chesapeake Energy Corporation
"Prince George's County, MD",PRINCE GEORGE'S COUNTY MARYLAND
Samora Technologies,SAMORA TECHNOLOGIES LLC
Zipcar Inc,Zipcar Inc.
"Armstrong, Katharine","ARMSTRONG, KATHARINE"
Carnegie Hall Corp,Carnegie Hall Corporation
"Township of East Hanover, NJ",TOWNSHIP OF EAST HANOVER
K&L Gates,KIRKPATRICK LOCKHART PRESTON GATES ELLIS LLP
Medicaid Policy Llc,"MEDICAID POLICY, LLC"
Fundamental Longterm Care Holding,FUNDAMENTAL HEALTH
"City of Opelika, AL","City of Opelika, Alabama"
Farm Sanctuary,FARM SANCTUARY
"Hatcher, Stubbs et al",HATCHER STUBBS LAND HOLLIS & ROTHSCHILD LLP
Eyes of the World,EYES OF THE WORLD
Indiana Regional Medical Center,INDIANA REGIONAL MEDICAL CENTER
Franklin & Eleanor Roosevelt Institute,The Franklin and Eleanor Roosevelt Institute
ED & F Man Sugar Inc,"ED & F Man Sugar, Inc."
Median Wind,"Median Wind, LLC"
Pathway Strategies,"Pathway Strategies, LLC"
Denver Rescue Mission,DENVER RESCUE MISSION
Sequa Corp,Sequa Corporation
SUNY Research Foundation,The Research Foundation for The State University of New York
Wisconsin Energy Corp,Wisconsin Energy Corporation
American Cash Handling Coalition,AMERICAN CASH HANDLING COALITION
International Reading Assn,International Reading Association
Pan Am 103 Plaintiff's cmte,Pan Am 103 Lockerbie Plaintiff's Committee
Catalina Health Resource,CATALINA HEALTH RESOURCE INC
Capital Consultants,CAPITAL CONSULTANTS
Biolytical Laboratories,"BioLytical Laboratories, Inc."
Wake Forest Univ/Regenerative Medicine,"Wake Forest School of Medicine, Institute for Regenerative Medicine"
American Family Mutual Insurance,AMERICAN FAMILY INSURANCE
Lloyd's of London,LLOYD'S OF LONDON
Stanley County Airport Authority,STANLEY COUNTY AIRPORT AUTHORITY
Rass Hospitality,"Rass Hospitality, LLC"
Council for Affordable Health Insurance,COUNCIL FOR AFFORDABLE HOUSING & RURAL DEVELOPMENT
BB&T Corp,BRANCH BANKING & TRUST CORP
National Accrediting Commission Career Arts & Sci,NATIONAL ACCREDITING COMMISSION OF CAREER ARTS & SCIENCES
American Trans Air,AMERICAN TRANS AIR
Corinne Young LLC,Corinne Young
Kansas City Southern,STILWELL FINANCIAL INC
AgFirst Farm Credit Bank,AGFIRST FARM CREDIT BANK
HSC Foundation,The HSC Foundation
St James Parish Hospital,ST JAMES PARISH HOSPITAL
"Town of Fishers, IN",TOWN OF FISHERS
"Waltzman, Lisa",Lisa Waltzman
Autonomy Inc,AUTONOMY INC
WorldWinner.com,WORLDWINNER.COM INC
National Meat Assn,National Meat Association
Kohlers Drug Store,KOHLERS DRUG STORE
Your Catholic Voice Foundation,YOUR CATHOLIC VOICE
"Gleiman, Edward J","GLEIMAN, EDWARD J."
American Short Line Railroad Assn,AMERICAN SHORT LINE RAILROAD ASSN
"City of Mound, MN",City of Mound
Farmland & Grassland Protection Cltn,FARMLAND & GRASSLAND PROTECTION COALITION
Hawkeye Inc,HAWKEYE INC
Higher Learning Commission,The Higher Learning Commission
Concept Medical Technologies Inc,CONCEPT MEDICAL TECHNOLOGIES INC
Georgia Municipal Assn,Georgia Municipal Association
Reliant Resources,RELIANT RESOURCES INC
Turfgrass Producers Assn,Turfgrass Producers International
Nutritional Health Alliance,NUTRITIONAL HEALTH ALLIANCE
YWCA Retirement Fund,"YWCA RETIREMENT FUND, INC"
Carroll Investment Inc,CARROLL INVESTMENT PROPERTIES INC -NC
Jana Brands,JANA BRANDS
Lower Yellowstone Irrigation Project,LOWER YELLOWSTONE IRRIGATION PROJECT
Baylor College of Medicine,BAYLOR COLLEGE OF MEDICINE
Transportation Intermediaries Assn,Transportation Intermediaries Association
Sucampo Pharmaceuticals,"Sucampo Pharmaceuticals, Inc."
Hadassah Women's Zionist Organization,HADASSAH THE WOMEN'S ZIONIST ORGANIZATION OF AMERICA INC
Vector Launch,"Vector Launch, Inc."
"Mendocino County, CA",MENDOCINO COUNTY CALIFORNIA
Ultra Electronics ProLogic,Ultra-Prologic
"City of Rancho Palos Verdes, CA",CITY OF RANCHO PALOS VERDES
Finavera Renewables,Finavera Renewables Inc
Coalition for Electronic Commerce,COALITION FOR ELECTRONIC COMMERCE
St Clair County Commission,St. Clair County Commission
Thermo Electron,THERMO ELECTRON CORP
Mechanical Contractors Assn of America,MECHANICAL CONTRACTORS ASSOCIATION OF AMERICA
Navy Mutual Aid Assn,NAVY MUTUAL AID ASSN
Nanotechnologies Inc,NOVACENTRIX CORP
International Pharm Aerosol Consortium,INTL PHARMACEUTICAL AEROSOL CONSORTIUM
Assn of Academic Health Centers,ASSN OF ACADEMIC HEALTH CENTERS
American Federation of Musicians,AMERICAN FEDERATION OF MUSICIANS
Premier Exhibitions Inc,Premier Exhibitions Inc.
AREVA Group,COGEMA INC
Consultant Mediator & Negotiator Svcs,CONSULTANT MEDIATOR & NEGOTIATOR SERVICES
Business Cltn/US-Central America Trade,BUSINESS COALITION FOR U.S. CENTRAL AMERICA TRADE
First Principles,"First Principles, LLC"
King Aerospace,KING AEROSPACE INC
Shinnecock Indian Nation,BAY MILLS INDIAN COMMUNITY
"Porterfield, Fettig & Sears","PORTERFIELD, FETTIG & SEARS, LLC"
Heidepriem & Assoc,"Heidepriem & Associates, LLC"
Hennepin Faculty Assoc,HENNEPIN FACULTY ASSOC
Banner Public Affairs,"Banner Public Affairs, LLC"
Las Vegas Convention & Visitors Authority,Las Vegas Convention and Visitors Authority
Admmicro Inc,"ADMMICRO, INC."
Strategic Solutions Center LLC,"Strategic Solutions Center, LLC"
Domtar Corp,DOMTAR
Calista Corp,Calista Corporation
Blackhawk Marine & Industrial Contractor,BLACKHAWK MARINE AND INDUSTRIAL CONTRACTORS LLC
Center for Systems Management,The Center for Systems Management
Bell Atlantic Mobile,BELL ATLANTIC MOBILE
"City of South Gate, CA","CITY OF SOUTH GATE, CALIFORNIA"
Nationwide,NATIONWIDE INSURANCE COS
Related Companies,"THE RELATED COMPANIES, L.P."
National Assn/Shareholder & Consumer Attorneys,National Association of Shareholder and Consumer Attorneys
RenaissanceRe Holdings,RenaissanceRe Holdings LTD.
Water Environment Research Foundation,WATER ENVIRONMENT FED
Catholic Health Assn of the US,CATHOLIC HEALTH ASSN
American Assn of Community Colleges,American Association of Community Colleges
Produce Marketing Assn,PRODUCE MARKETING ASSN
Alfred University,ALFRED UNIV
DaVita HealthCare Partners,DAVITA INC.
National Inst for Water Resources,NATL INST FOR WATER RESOURCES
Amer for Responsible Recreational Access,AMERICANS FOR RESPONSIBLE RECREATIONAL ACCESS
Berlin Atlantic Co,Berlin Atlantic Company
National Star Route Mail Contractors Assn,NATIONAL STAR ROUTE MAIL CONTRACTORS ASSOCIATION
"Zylinski, Barbara",Barbara Zylinski
"City of Phoenix, AZ",CITY OF PHOENIX
Inter-Coop Exchange Policy Advocacy Cmte,Inter-Cooperative Exchange Policy Advocacy Committee
Jeanne-Marie Murphy & Assoc,Jeanne-Marie Murphy & Associates
TCF Bank,TCF FINANCIAL CORP
"City of Beaumont, CA","CITY OF BEAUMONT, CA"
Clark Street Assoc,Clark Street Associates
"Beralt, Tin & Wolfram",BERALT TIN & WOLFRAM
Tobacco Quota Warehouse Alliance,TOBACCO QUOTA WAREHOUSE ALLIANCE
Coalition of Gulf Shrimp Industries,COALITION OF GULF SHRIMP INDUSTRIES
"O'Malley, Milese et al",OMALLEY MILES NYLEN & GILMORE
"Miller, George IV","MILLER, GEORGE IV"
United Telecom Council,"UTC, UNITED TELECOM COUNCIL"
Four Rivers Economic Development,"Four Rivers Economic Development, LLC"
American Air Charters Cos PAC,American Air Charters Companies Political Action Committee
Spiegel & McDiarmid,SPIEGEL & MCDIARMID
"Robins, Kaplan et al",ROBINS KAPLAN MILLER & CIRESI
"Schramm, Williams & Assoc",SCHRAMM WILLIAMS & ASSOC
VerifiedVoting.org,VERIFIEDVOTING.ORG
Synagro Technologies,"Synagro Technologies, Inc."
Kent & O'Connor,"Kent & O'Connor, Inc."
NanoDynamics Inc,"NANODYNAMICS, INC"
Nebraska Farm Bureau,NEBRASKA FARM BUREAU FEDERATION
Vietnam Veterans of America,VIETNAM VETERANS OF AMERICA
Anthra Pharmaceuticals,ANTHRA PHARMACEUTICALS
Hydrogen Energy California (HECA),Hydrogen Energy California
EmblemHealth Inc,EmblemHealth
Global Fund Placements Agency,"Global Fund Placements Agency, Inc"
East Stroudsburg University,EAST STROUDSBURG UNIV FOUNDATION
Essential Worker Immigration Coalition,ESSENTIAL WORKER IMMIGRATION COALITION
"Alachua County, FL","County of Alachua, FL"
DuPont Pharmaceuticals,DUPONT PHARMACEUTICAL CO
"McCahill, Barry W","MCCAHILL, BARRY W."
Cellular Telecom & Internet Assn,CELLULAR TELECOMMUNICATIONS INDUSTRY ASSOCIATION
Product Liability Coordinating Cmte,PRODUCT LIABILITY COORDINATING COMM
Greater Kelly Development Authority,GREATER KELLY DEVELOPMENT AUTHORITY
Noble Environmental Power,Noble Environmental Power LLC
Forest Products Ind Natl Labor Mgmt Cmte,FOREST PRODUCTS INDUSTRY LABOR MANAGEMENT COMMITTEE
Borough of Mantaloking,BOROUGH OF MANTOLOKING
Houston Community College System,HOUSTON COMMUNITY COLLEGE SYSTEMS
SOGEM-Afrimet,SOGEM-AFRIMET
AeroCare Holdings,AEROCARE HOLDINGS INC
Pharmaceutical Care Management Assn,PHARMACEUTICAL CARE MANAGEMENT ASSN
Nutrition & Education International,Nutrition and Education International
Intevac,INTEVAC
Gautier Steel & Gautier Special Metals,"Gautier Stell, Ltd. & Gautier Specialty Metals, LLC"
Home Care Assn of New York State,HOME CARE ASSN OF NY STATE
Lockheed Martin Missiles & Fire Control,LOCKHEED MARTIN MISSILES AND FIRE CONTROL
Terphane Inc,TERPHANE INC
Santa Clara Valley Water District,SANTA CLARA VALLEY WATER DISTRICT
National Alliance for Better Nutrition,NATIONAL ALLIANCE FOR BETTER NUTRITION
Cogent Strategies,COGENT STRATEGIES LLC
Laser Shot Inc,"LASER SHOT, INC"
Timken Co,TORRINGTON COMPANY
Silver Companies,SILVER COMPANIES
International Air Transport Assn,INTERNATIONAL AIR TRANSPORT ASSOCIATION
Trigeant Ltd,TRIGEANT
SunOpta Inc,SunOpta
Maples & Calder,Maples and Calder
Texas Savings & Community Bankers,TEXAS SAVINGS & COMMUNITY BANKERS
"City of Lacey, WA",CITY OF LACEY
Fideicomiso de la Escuela de Agricultura,FIDEICOMISO DE LA ESUELA DE AGRICULTURA DE LA REGIONA TROPICAL HUMEDA SA
Global Baggage Protection Systems,"Global Baggage Protection Systems, Inc."
University of Iowa,UNIV OF IOWA
Society of American Florists,SOCIETY OF AMERICAN FLORISTS
National Truck Equipment Assn,NATIONAL TRUCK EQUIPMENT ASSOCIATION
Walt Disney Co,WALT DISNEY COMPANY THE
Thomas Walters & Assoc,"WALTERS & ASSOC, THOMAS"
"Aurilio, Anna",Ms. Anna Aurilio
Keane Federal Systems,KEANE FEDERAL SYSTEMS INC
Creekstone,CREEKSTONE
H&R Block Management,"H&R Block Management, LLC"
Koch Mineral Services,KOCH MINERAL SERVICES LLC
Specialty Minerals,SPECIALTY MINERALS INC
Brody & Assoc,Brody Group L.L.C Public Affairs
Parametric Technology Corp,Parametric Technologies Corporation
"City of Monroe, LA",City of Monroe
Human Rights Accountability Global Initiative Fdtn,Human Rights Accountability Global Initiative Foundation
American Cable Assn,AMERICAN CABLE ASSN
Leidos Innovations,LEIDOS INNOVATIONS CORPORATION
Montgomery Area Chamber of Commerce,MONTGOMERY AREA CHAMBER OF COMMERCE
US Chamber of Commerce,UNITED STATES CHAMBER OF COMMERCE
Huntsville Hospital Foundation,The Huntsville Hospital Foundation
California Workforce Assn,California Workforce Association
Webasto Roof Systems,Webasto Roof Systems Inc.
US National Whitewater Center,U.S. NATL WHITEWATER CENTER
"City of Durham, NC",CITY OF DURHAM
Breckenridge Insurance,Breckenridge Insurance Group
Independent Electrical Contractors,"INDEPENDENT ELECTRICAL CONTRACTORS, INC"
Brian Wishneff & Assoc,Brian Wishneff and Associates
Pesticide Registration Improvement Cltn,Pesticide Registration Improvement Act Coalition
Millennium/Takeda Oncology Co,Millennium The Takeda Oncology Company
Carfax,"CARFAX, INC."
Corridor 67 Inc,CORRIDOR 67 INC
TempAlert,"Temp Alert, Inc."
Longmire Group,"THE LONGMIRE GROUP, LLC"
StrongMail Systems,"StrongMail Systems, Inc."
JKM Manufacturing,"JKM Manufacturing, Inc."
Association of Metropolitan Planning Orgs,ASSN OF METROPOLITAN PLANNING ORGANIZATION
Carroll & LaDier,"Carroll & LaDier, PLLC"
Jacksonville University,JACKSONVILLE UNIV
Palantir Technologies,"Palantir Technologies, Inc."
Bose Corp,Bose Corporation
Grady Health System,GRADY HEALTH SYSTEM
Akron Tower Housing Partnership,AKRON TOWER HOUSING PARTNERSHIP
Transocean Inc,Transocean Ltd.
Southwest Peanut Growers Assn,SOUTHWEST PEANUT GROWERS
Western Michigan University,WESTERN MICHIGAN UNIVERSITY
Charles Schwab & Co,CHARLES SCHWAB & CO INC
Natural Resource Results LLC,NATURAL RESOURCE RESULTS LLC
Assn of Operating Room Nurses,ASSN OF OPERATING ROOM NURSES
Next Autoworks Co,NEXT AUTOWORKS COMPANY
Maestra LLC,MAESTRA LLC
National Meat Assn,National Meat Association
Dunkel Government Relations,DUNKEL GOVERNMENT RELATIONS
Moore Federal Solutions,MOORE FEDERAL SOLUTIONS INC
Dewey Electronics Corp,DEWEY ELECTRONICS CORPORATION
"Endres, Arthur P Jr","Mr. arthur endres, jr."
Kiwanis International,KIWANIS INTERNATIONAL
Shefsky & Froelich,SHEFSKY & FROELICH
Pal-Con ltd,"Pal-Con, Ltd."
"City of Whittier, CA","CITY OF WHITTIER, CA"
Seville Dye,SEVILLE DYE
Datamars SA,DATAMARS SA
CauseWay Agency,The CauseWay Agency
US 31 Coalition,"U.S. 31 COALITION, INC."
National Assn of Home Builders,National Association of Homebuilders
Old Dominion Freight Line,"Old Dominion Freight Line, Inc."
Broadcast Music Inc,"BROADCAST MUSIC, INC."
GS Equity Resources II,"GS Equity Resources II, Inc"
National Assn of Investors Corp,NATL ASSN OF INVESTORS CORP
BBC America,BBC Worldwide America
National Cmte to Preserve Social Security,National Committee to Preserve Social Security and Medicare
Thermo Fisher Scientific,THERMOFISHER SCIENTIFIC
Fairview Health Services,FAIRVIEW HEALTH SERVICES
Sonoma Electro Optics,SONOMA ELECTRO OPTICS
Sigma Assoc,SIGMA ASSOC
Maximus Inc,"MAXIMUS, INC"
American Health Care Assn,American Healthcare Association
Ferguson Group,FERGUSON GROUP
Bituminous Coal Operators Assn,BITUMINOUS COAL OPERATORS ASSN
EDF Renewables,EDF RENEWABLE ENERGY
International Titanium Powder,INTERNATIONAL TITANIUM POWDER
Constellation Energy,CONSTELLATION ENERGY
Axon Holdings Group,"Axon Holdings Group, LLC"
Anp Technologies,ANP TECHNOLOGIES
Community Financial Services Assn,Community Financial Services of America
Southern Strategy,"Southern Strategy Group, Inc"
Associated Estates,ASSOCIATED ESTATES CO
Arsenal Assoc,ARSENAL ASSOCIATES
Intrado Inc,INTRADO INC
Family Services of King County,FAMILY SERVICES OF KING COUNTY
Bridge Semiconductor,BRIDGE SEMICONDUCTOR
Allied Capital,ALLIED CAPITAL
Safe Haven Enterprises,SAFE HAVEN ENTERPRISES INC
Westinghouse Electric,Westinghouse Electric Company
Axion International,"Axion International, Inc."
VoteHere,VOTEHERE
United Telecom Council,UNITED TELECOM COUNCIL
Regional Housing Legal Services,REGIONAL HOUSING LEGAL SERVICES
EOS Climate,EOS Climate Inc.
Zimmer Biomet,"Zimmer, Inc."
Clean Energy Fuels Corp,CLEAN ENERGY FUELS
Institute for Democratic Strategies,INSTITUTE FOR DEMOCRATIC STRATEGIES
Public Service Enterprise Group,PUBLIC SERVICE ENTERPRISE GROUP - PSEG
Think Small Business,THINK SMALL BUSINESS LLC
Bascom Hunter Technologies,Bascom Hunter
"Cator, G Thomas","CATOR, G THOMAS"
Barker Enterprises,BARKER ENTERPRISES
Fidelity Investments,FIDELITY INVESTMENTS INC
Forsyth Institute,FORSYTH INST
Sherwin-Williams Co,SHERWIN-WILLIAMS CO
Vital Probes,"VITAL PROBES, INC."
Duferco Farrell Corp,DUFERCO FARRELL CORPORATION
Robert Gilmore PC,Robert Gilmore
On Trac VT,ON TRAC VT
Spectrum Brands,RAYOVAC
US Airline Pilots Assn,US Airline Pilots Association
Tyson's Governmental Sales,TYSONS GOVT SALES
PURRE Coalition,The PURRE Coalition
Zoran Corp,ZORAN CORPORATION
Federation of State Humanities Council,Federation of State Humanities Councils
EMI Music,FINAL ANALYSIS
"City of Kenner, LA","City of Kenner, Louisana"
"Alexander, William",Mr. WILLIAM ALEXANDER
Assicurazioni Generali,ASSICURAZIONI GENERALI SPA
Robert M Hearin Foundation,ROBERT M HEARIN FOUNDATION
American University,AMERICAN UNIVERSITY
Statue of Liberty & Ellis Island Ferry,CIRCLE LINE-STATUE OF LIBERTY FERRY
Hendricks County Board of Commissioners,HENDRICKS COUNTY INDIANA BOARD OF COMMISSIONERS
SDC States Ratification Cmte,SOUTHERN DAIRY COMPACT RATIFICATION COMMITTEE
US Apparel Industry Council,U.S. APPAREL INDUSTRY COUNCIL
Lilliputian Systems,LILLIPUTIAN SYSTEMS INC
Strategic Public Partners,Strategic Public Partners Group
Banks.com,BANKS COM
Performant Financial Corp,PERFORMANT FINANCIAL CORP
Liebert Corp,LIEBERT CORP
Puerto Rico Dept of Corrections & Rehab,PUERTO RICO DEPARTMENT OF CORRECTIONS AND REHABILITATION
Novartis Corp,NOVARTIS PHARMACEUTICAL CORP
Ogilvy & Mather Worldwide,OGILVY & MATHER
Thurgood Marshall Scholarship Fund,Thurgood Marshall College Fund
Toyota Motor Manufacturing,Toyota Motor Corporation
Southern Co,"SOUTHERN COMPANY SERVICES, INC"
Austin Energy,AUSTIN ENERGY
Whitten & Diamond,WHITTEN & DIAMOND
Kaleo Inc,Kaleo
Ericsson Inc,Ericsson Inc.
Canadian Sugar Institute,CANADIAN SUGAR INSTITUTE
Boucher & James,BOUCHER & JAMES
Assn for the Improvement/American Infrastructure,Association for the Improvement of American Infrastructure
Edison Electric Institute,EDISON ELECTRIC INST
US Apple Export Council,U.S. APPLE EXPORT COUNCIL
Vesta Medical Systems,"Vesta Medical Systems, LLC"
Verified Identity Pass,"VERIFIED IDENTITY PASS, INC"
EnCana Corp,ENCANA
Native Americans Tribe,NATIVE AMERICANS TRIBE
Port of Sacramento,"PORT OF SACRAMENTO, CA"
Vietnam Veterans Memorial Fund,VIETNAM VETERAN'S MEMORIAL FUND
Res-Care Inc,RESCARE
Gemalto Inc,AXALTO
CSX Corp,CSX CORP
Kansas City Area Transit Authority,KANSAS CITY AREA TRANSIT AUTHORITY
Zillow Inc,ZILLOW INC
"Lobel, Novins & Lamont","LOBEL, NOVINS & LAMONT"
Lundbeck Inc,Lundbeck Inc.
Endocare Inc,ENDOCARE INC.
Capital Funding Group,"CAPITAL FUNDING GROUP, INC."
Atlantic Marine Holding Co,ATLANTIC MARINE HOLDING COMPANY
National Rural Water Assn,National Rural Water Association
One Stop Environmental,"One Stop Environmental, LLC"
HP Hood LLC,H. P. HOOD
"City of Memphis, TN","Memphis-TN, City of"
Florida Citrus Mutual,FLORIDA CITRUS MUTUAL
Boston Museum of Science,"MUSEUM OF SCENCE, BOSTON"
"Benson, Nathaniel","BENSON, NATHANIEL"
White Consolidated Industries,WHITE CONSOLIDATED INDUSTRIES
Brownsville Economic Development Council,BROWNSVILLE ECONOMIC DEVELOPMENT COUNCIL
International Power America,"International Power America, Inc."
CAN Capital,"CAN Capital, Inc."
Cisco Systems,"CISCO SYSTEMS, INC"
Professional Engineering Consultants,PROFESSIONAL ENGINEERING & ENVIRONMENTAL CONSULTANTS
"Santa Cruz County, AZ","SANTA CRUZ COUNTY, POLITICAL SUBDIVISION OF STATE OF AZ"
VidaMed Inc,"VIDAMED, INC."
American British Cowdray Medical Center,"AMERICAN BRITISH COWDRAY MEDICAL CENTER, I.A.P."
National Cncil of Higher Educ Loan Progs,NATL COUNCIL OF HIGHER EDUCATION PROGRAMS
"Giglio, John D","GIGLIO, JOHN D."
Messick & Assoc,MESSICK & ASSOCIATES
Jefferson Group,JEFFERSON GROUP
Eex Corp,EEX CORP
Dredging Contractors of America,Dredging Contractors or America
"Huddleson, Edwin E III",Edwin Huddleson
General Electric,GENERAL ELECTRIC CO.
"Cooper, Michael J",Mr. Michael Cooper
Our Lady of the Lake Regional Med Center,Our Lady of the Lake Regional Hospital and Foundation
Power Tool Institute,POWER TOOL INSTITUTE INC
SCORE Foundation,THE SCORE FOUNDATION
Nu Skin International,NU SKIN INTL
ZirMed Inc,ZIRMED.COM
Office of Champagne USA,"Office of Champagne, USA"
Makah Indian Tribe,MAKAH INDIAN TRIBE
William Lyon Homes,WILLIAM LYON HOMES
Zerronox Corp,Zerronox Corporation
Boston Edison,BOSTON EDISON CO
Momenta Pharmaceuticals,MOMENTA PHARMACEUTICALS INC
Council of Federal Home Loan Banks,COUNCIL OF FEDERAL HOME LOAN BANKS
Conservation Fund,THE CONSERVATION FUND
Council on State Taxation,COUNCIL ON STATE TAXATION
Whitman-Walker Clinic,WHITMAN WALKER CLINIC
Denno Strategies,Denno Strategies LLC
National Golf Course Owners Assn,NATL GOLF COURSE OWNERS ASSOC
NCTA The Internet & Television Assn,NATIONAL CABLE & TELECOMMUNICATIONS ASSOCIATION
SAP America,"SAP AMERICA, INC."
American Society of Pediatric Nephrology,AMERICAN SOCIETY OF PEDIATRIC NEPHROLOGY
Infusion Dynamics,INFUSION DYNAMICS
Taggart & Assoc,TAGGART & ASSOC
Hispaniola Petroleum,HISPANIOLA PETROLEUM LLC
C.Martin,C. Martin
Snap Track,SNAP TRACK
Harcourt Inc,"HARCOURT, INC."
Alaska Central Express,ALASKA CENTRAL EXPRESS
Yelp Inc,Yelp Inc.
Mississippi Security Police,MISSISSIPPI SECURITY POLICE INCORPORATED
Verrill & Dana,VERRILL & DANA
Gephardt Group,Gephardt Group Government Affairs
Hartsfield-Jackson International Airport,CITY OF ATLANTA - HARTSFIELD JACKSON INTL AIRPORT
