query_string,candidate_string,match
AES Prescott LLC,"AES New York Funding, L.L.C.",
Green Energy Partners,"Green Energy Products, LLC",
Langford Wind Power LLC,"Cow Branch Wind Power, L.L.C.",0.0
DTE Biomass,DTE Gas Storage Company,
PECO Energy Co,Peco Energy Capital Trust II,
TransCanada Power,TransCanada Corporation,
Four Mile Canyon Windfarm LLC,"Four Corners Windfarm, Llc",0.0
"Diamond State Generation Partners, LLC",Diamond Fuel,
Duke Energy Kentucky Inc,Duke Energy Corporation,
Tenaska Georgia I LP,Tenaska Inc.,
First Solar Project Development,"First Solar Electric, LLC",
AES Corp,"AES Laurel Mountain, LLC",
Liberty Electric Power LLC,Liberty Power Nevada Llc,
Energy Northwest,Northwest Energy Corporation,
AES Greenidge,Aes Placerita Inc.,
CMS Generation Co,CMS Gas Transmission Company,
Mission Wind Taloga Inc,"Mission Wind Laredo, LLC",
Old Dominion Electric Coop,"Old Dominion Mining, Inc",
"Covanta Energy Americas, Inc.","Covanta Energy, LLC",
AES Cayuga LLC,"AES Redondo Beach, L.L.C.",
Bio Energy LLC,"ME Bio Energy, LLC",
El Paso Electric Co,El Paso Field Services Company,
Cleco Corp,"Cleco Energy, L.L.C.",
Covanta  Maine LLC,Covanta ARC LLC,
CMS Generation MI Power LLC,CMS Generation Co.,
Dominion Energy Kewaunee Inc.,"Dominion Energy, Inc.",
New York University,"New York Independent System Operator, Inc.",0.0
"Swift River Hydro Operations Co., Inc","Swift River Company, Inc.",
FPL Energy Inc,FPL Energy National Wind LLC,
AES Prescott LLC,"AES Jennison, L.L.C.",
Lone Star Wind Farm LLC,"Lone Star Trucking, LLC",
Viking Energy Corp,Viking Energy Limited,
PSEG Power Connecticut LLC,PSEG Global L.L.C.,
Cottonwood Energy Co LP,Cottonwood Energy Company LP,1.0
Big Valley Power LLC,Big Cajun I Peaking Power LLC,0.0
Mirant Corp,Mirant Canada Energy Marketing Limited,
"SunE SPS2, LLC","SunE St. Cloud 1, LLC",
Escambia Operating Co  LLC,"Escambia Operating Company, LLC",1.0
AES Corp,AES Calgary ULC,
FPL Energy Inc,"FPL Energy Wind Funding, LLC",
Peru City of,Peru Utilities,
Harvest I,Harvest BEL Inc.,
"Buckeye Power, Inc","Buckeye Power Generating, LLC",
M&M Mars Inc,M & M Resources Inc.,
U.S. Government,"U.S. Coal, Inc.",0.0
TransCanada Power,Transcanada Pipelines Services Ltd,
Entergy Louisiana LLC,"Entergy Nuclear Palisades, LLC",
Tenaska Arkansas Inc,"Tenaska Oklahoma I, LP",
Harvest Energy Inc,Energy Harvest Group Inc.,
Cambria CoGen Co,Cambria Coke Company,
Twin Cities Hydro LLC,"Twin Cities Power-Canada, ULC",
Westmoreland Partners,"Westmoreland Resources, Inc.",
GDF Suez North America,"GDF SUEZ Energy Resources NA, Inc.",
NextEra Energy Mountain View Solar,"NextEra Energy, Inc.",
Paragon Assets,Paragon Offshore plc,
National Grid Generation LLC,National Grid Glenwood Energy Centre LLC,
Reliant Energy Channelview -DE,"Reliant Energy Power Generation, Inc.",
Kinder Morgan Yates Operation,Kinder Morgan NatGas Operator LLC,
Power Resources Coopeative,"Power Resource Group, Inc.",
Exelon Wind LLC,Exelon Solar Chicago LLC,
Duke Energy Corp,"Duke Energy North America, LLC",
Lake Road Trust Ltd,Lake Road Generating Company Limited Partnership,
Duke Energy Vermillion LLC,"Duke Energy International, LLC",
Entergy RISE,Entergy Gulf States Capital I,
NRG Energy Center Eagles LLC,NRG Energy Center Phoenix LLC,
"Alaska Village Elec Coop, Inc","Alaska Village Electric Cooperative, Inc.",1.0
NRG Energy Gas & Wind Holdings Inc,"Nrg Energy, Inc.",
Black River Generation LLC,Black Systems,0.0
Black Hills Power Inc,"Black Hills Electric Generation, LLC",
J&A-Whittier LLC,"J & A Services, Llc",
Terra-Gen Operating Co LLC,"Terra-Gen Finance Company, LLC",
Kinder Morgan Power Co,"Kinder Morgan Kansas, Inc.",
Performance Services,Performance Drilling Company LLC,0.0
Fort Chicago,Fort Calgary Resources Ltd.,0.0
PCS Phosphate,"PCS Ferguson, Inc.",
Harvest Energy Inc,"Juhl Energy Development, Inc.",0.0
Chevron USA Inc,"Energy USA Retail, Inc.",0.0
Energy 2001 Inc,Energy Harvest Group Inc.,0.0
Lower Valley Energy Inc,"Auxillium Energy, Inc.",0.0
Wood Group Power Plant Services Inc,BCG Services Inc.,0.0
Alcoa Power Generating Inc Tapoco Div,"Prairie Power, Inc.",0.0
Power Investments Inc,"Virginia Power Services Energy Corp., Inc.",0.0
Oroville Energy Inc,Reliance Energy Inc.,0.0
Crosstex Energy Inc,"Glacial Energy of New England, Inc.",0.0
"System Energy Resources, Inc","Agile Energy, Inc.",0.0
P P M Energy Inc,Galaxy Energy Inc.,0.0
AG Energy Inc,"Paragon Energy, Inc.",0.0
Smurfit Stone Enterprises Inc,Croff Enterprises Inc.,0.0
MC Power Companies Inc,"PNGC Power, Inc.",0.0
Enbridge,Enbridge Gas Distribution Inc.,
"Entergy Power, Inc","Entergy Nuclear Operations, Inc.",
Sloss Industries Inc,"Pearce Industries, Inc.",0.0
Big Brown Power Company LLC,Big Brown Lignite Company LLC,
Midwest Energy Inc,"Mid-Missouri Energy, Inc.",0.0
New Generation Holdings Inc,"Dresser Holdings, Inc.",0.0
Wellhead Services Inc,Blast Energy Services Inc.,0.0
"Smurfit-Stone Container Enterprises, Inc","Midstream Enterprises, Inc.",0.0
"System Energy Resources, Inc",Ellora Energy Inc.,0.0
EQ-Waste Energy Services Inc,"Keystone Energy Services, Inc.",0.0
Midwest Energy Inc,"Midwest Electric Power, Inc.",0.0
Energy Factors Inc,Canacol Energy Inc.,0.0
"Prairie Power, Inc","Cinergy Global Power, Inc.",0.0
BP America Inc,"Mercuria Energy America, Inc.",0.0
GDF Suez NA - Hopewell,"GDF SUEZ Energy Marketing NA, Inc.",
Cogentrix Energy Inc,"Cogentrix Delaware Holdings, Inc.",
Westmoreland Energy Inc,"Watch Resources Ltd., Prior to Reverse Merger with Energy 51, Inc.",0.0
PSI Energy Inc,Breton Energy Inc.,0.0
Solar Power Inc.,"Power Ecalene Fuels, Inc.",0.0
Nuevo Energy Inc,"Energy Corporation of America, Inc.",0.0
"Green Lane Energy, Inc","Green Energy Resources, Inc.",0.0
Colmac Energy Inc,"NuTech Energy Resources, Inc.",0.0
"NRG Energy, Inc","Eagle Energy, Inc.",0.0
SUEZ Energy Generation NA Inc,"Sky Generation, Inc.",0.0
NRG Power Midwest LP,NRG Florida LP,
"NRG Energy, Inc","Carneros Energy, Inc.",0.0
FPL Energy Operating Serv Inc,McDermett Operating Inc.,0.0
Sunray Energy Inc,"EM Energy, Inc.",0.0
Energy Factors Inc,"Northstar Energy, Inc.",0.0
TPF Operations Inc,NRG Montville Operations Inc.,0.0
NRG Energy Inc,"Bald Eagle Energy, Inc.",0.0
Wind Energy Prototypes LLC,"Wind Energy Transmission Texas, LLC",
Avista Corporation,Avista Capital II,
Yakutat Power Inc,Xeneca Power Development Inc.,0.0
"System Energy Resources, Inc","Goldnev Resources, Inc.",0.0
Merit Energy Company,"Merit Energy, Ltd.",1.0
Illinois Power Co,"Illinois Power Holdings, LLC",
El Paso Wind LLC,El Paso Performance-linked Trust,
BP America Inc,BP & A Enterprises Inc.,0.0
Somerset Power LLC,Somerset Energy,
Freestone Power Generation LLC,Eagle Point Power Generation LLC,0.0
Marshall Wind 5 LLC,"Marshall Wind 6, LLC",
"Inter-Power/AhlCon Partners, L.P.",Inter Pipeline Ltd.,0.0
Alta Wind VI LLC,"Alta Wind I, LLC",
NRG Solar Blythe,NRG Solar PV LLC,
"Western Farmers Elec Coop, Inc","Western Utilities, Inc.",0.0
Duke Energy Field Services,Duke Energy Corporation,
Largo Co,Largo Vista Group Ltd.,
Gas Recovery Services-IL Inc,"Gas, Incorporated",0.0
Hercules Incorporated,"Hercules Transport, Inc.",
Ameresco,Ameresco Canada Inc.,
ExxonMobil Corp,Exxonmobil Export Corporation,
Georgia Power Co,Georgia Power Capital Trust II,
Village of Morrisville,Village of Grant Park Water,0.0
Anderson Power Products,Anderson Gilyard,
Black Hills Ontario LLC,"Black Hills Gas Holdings, LLC",
El Paso Corp,El Paso Energy Service Company,
P P M Energy Inc,"Baron Energy, Inc., Prior to Reverse Merger with Esconde Resources, Inc. & Permian Legend Petroleum",0.0
Eagle Creek RE LLC,"Eagle Creek Renewable Energy, LLC",1.0
Praxair Inc,"Praxair International, Inc.",
Duke Energy DEGS Campbell Hill,Duke Energy Corporation,
Kinder Morgan Yates Operation,"Kinder Morgan Petcoke, L.P.",
U S Bureau of Reclamation,"U.S. Companies, Inc.",0.0
LS Power Development LLC,"Mackinaw Power, L.L.C.",0.0
"Washington Gas Energy Systems, Inc.",Washington Gas Light Company,0.0
AES Alamitos LLC,"AES Southland, L.L.C.",
"East Kansas Agri-Energy, LLC","Agri-Energy, LLC",0.0
US Energy Geothermal LLC,"US Energy Group, Inc.",
"Alliance NYGT, LLC","Alliance GP, LLC",
Laurel Capital Partners,Hall-Houston Exploration Partners L.L.C.,0.0
Lakeview Light & Power,Enron Global Power & Pipelines L.L.C.,0.0
Duke Energy Oakland LLC,"Duke Energy Ohio, Inc.",
La Paloma Generating Co LLC,"La Paloma Acquisition Co, LLC",
U.S. Government,U.S. Energy Biogas Corp.,
Lockport Energy Associates LP,"Caithness Energy, L.L.C",0.0
The Toledo Edison Co,The Potomac Edison Company,
"Energy XXI Pipeline II, LLC","Energy XXI Services, LLC",
Rockgen Energy LLC,B&R Energy LLC,0.0
Pacific Energy Capital,Pacific Energy Alaska Operating LLC,
Osprey Energy Center,Osprey Energy Ltd.,
El Paso Corp,El Paso Energy International Company,
North American Energy Services,"North American Energy, Inc.",
U.S. Government,"U.S. Gas Transportation, Inc.",0.0
AltaGas Pomona Energy Inc.,AltaGas Renewable Energy Inc.,
NRG Solar Community 1 LLC,NRG Solar Kansas South Holdings LLC,
Criterion Power Partners LLC,"Anchorage Capital Group, L.L.C.; KLR Energy Sponsor, LLC; The K2 Principal Fund L.P.; Geode Capital Management, LLC; Anchorage Illiquid Opportunities V, L.P.; Tema Oil and Gas, Certain Oil and Gas Properties and Related Assets in Delaware and Barnett; Geode Diversified Fund; AIO V AIV 3 Holdings, L.P.",0.0
Bear Mountain Limited,Bear Mountain Ltd.,1.0
Chalk Cliff Limited,Chalk Cliff Ltd.,1.0
Southern Energy Co,"Southern Energy Co., Inc.",1.0
Del Mar Energy Co,Del Mar Energy Company,1.0
Ida-West Energy Co,Ida-West Energy Company,1.0
Tenaska Georgia Partners LP,"Tenaska Georgia Partners, L.P.",1.0
Tenaska Alabama Partners LP,"Tenaska Alabama Partners, L.P.",1.0
E ON Climate Renewables N America Inc,E.ON Climate & Renewables North America Inc.,1.0
Great Lakes Tissue Co,"Great Lakes Lubricant, Corp.",0.0
Valero Refining Co - TX,Valero Refining Co - Texas,1.0
Valero Refining Co - NJ,Valero Refining Co - New Jersey,1.0
Terra-Gen California Wind Holdings LLC,"Terra-Gen Power, Llc",
Crystal Lake 3 LLC,"Crystal Holding, L.L.C.",
AES Somerset LLC,"AES Wind, L.L.C.",
"EnLink Midstream Services, LLC","EnLink Midstream GP, LLC",
Diamond Generating Corporation,Tenaska Inc.; Diamond Generating Corporation,
FPL Energy Vansycle LLC,FPL Energy National Wind LLC,
H H Management LLC,Hillair Capital Management LLC; Hillair Capital Investments L.P.,0.0
Rhode Island Hospital,"Rhode Island LFG Genco, LLC",0.0
DTE Calvert City LLC,"DTE Methane Resources, L.L.C.",
FPL Energy Wyman LLC,"FPL Energy American Wind, LLC",
FPL Energy Mason LLC,"FPL Energy Wind Funding, LLC",
NRG Solar Arrowhead LLC,NRG Solar DG LLC,
FPL Energy Wyoming Wind LLC,"FPL Energy American Wind, LLC",
Marshall Wind 2 LLC,"Marshall Wind 5, LLC",
Clean Energy LLC,"Clean Energy Pathways, Inc.",0.0
Wolverine Power Supply Coop,Wolverine Power Marketing Cooperative,
"Alta Wind XI, LLC","Alta Wind Holdings, LLC",
Valero Refining Co - TX,Valero Refining Company - California,
Consolidated Edison Solutions Inc,Consolidated Edison Co. of New York Inc.,
Reliant Energy Sabine DE Inc,Reliant Energy Solutions Inc,
Tennessee Valley Authority,Tennessee Valley Electric Cooperative,0.0
AES Greenidge,"AES Greenidge, L.L.C.",1.0
Ausra CA I LLC,"Brookfield Investment Management Inc.; Texas Mutual Insurance Company; Cohen & Steers, Inc. ; OZ Offshore ATN Investors V, LLC; Brookfield Global Listed Infrastructure Master Fund LP; Citibank, N.A.; Tortoise Energy Capital Corp.; Swank Capital, LLC; Salient MLP & Energy Infrastructure Fund; Managed Portfolio Series; Tortoise Direct Opportunities Fund, LP",0.0
Consumers Energy Co,Consumers Energy Company,1.0
Southwestern Public Service Co,Southwestern Public Service Company,1.0
New York State Elec & Gas Corp,New York State Electric & Gas Corporation,1.0
International Paper Co,International Paper Company,1.0
"Western Farmers Elec Coop, Inc",Western Farmers Electric Cooperative,1.0
Harvest II Windfarm LLC,"Harvest II Wind Farm, LLC",1.0
Lyonsdale Biomass,"Lyonsdale Biomass, LLC",1.0
"Minnkota Power Coop, Inc","Minnkota Power Cooperative, Inc.",1.0
Southern Power Co,Southern Power Company,1.0
Viridis Energy,Viridis Energy Inc.,1.0
Milford Power Co LLC,Milford Power Company LLC,1.0
Sunrise Power Co LLC,Sunrise Power Company LLC,1.0
"Rio Grande Valley Sugar Growers, Inc.",Rio Grande Valley Gas Inc.,0.0
Gas Recovery Systems Inc,"Gas Recovery Systems, LLC",0.0
WPS Power Developement,"WPS Power Development, LLC",1.0
Encore Energy Partners Operating LLC,enCore Energy Corp.,
BASF Corp,BASF Corporation,1.0
Tenaska Georgia I LP,"Brookfield Investment Management Inc.; Texas Mutual Insurance Company; Cohen & Steers, Inc. ; OZ Offshore ATN Investors V, LLC; Brookfield Global Listed Infrastructure Master Fund LP; Citibank, N.A.; Tortoise Energy Capital Corp.; Swank Capital, LLC; Salient MLP & Energy Infrastructure Fund; Managed Portfolio Series; Tortoise Direct Opportunities Fund, LP",0.0
Sun Edison,Sun Energy Partners LP,
AES Thames LLC,"AES Wind, L.L.C.",
RRI Energy Coolwater LP,"Anchorage Capital Group, L.L.C.; KLR Energy Sponsor, LLC; The K2 Principal Fund L.P.; Geode Capital Management, LLC; Anchorage Illiquid Opportunities V, L.P.; Tema Oil and Gas, Certain Oil and Gas Properties and Related Assets in Delaware and Barnett; Geode Diversified Fund; AIO V AIV 3 Holdings, L.P.",0.0
Alliance Star Energy LLC,Alliance Energy LLC,
Duke Energy Corp,"Duke Energy Florida, LLC",
Electric Energy Inc,"Alaska Electric And Energy Cooperative, Inc.",0.0
El Paso Electric Co,El Paso Remediation Company,
AES Greenidge,AES Gener S.A.,
Veolia Energy Trenton L.P,"Brookfield Investment Management Inc.; Texas Mutual Insurance Company; Cohen & Steers, Inc. ; OZ Offshore ATN Investors V, LLC; Brookfield Global Listed Infrastructure Master Fund LP; Citibank, N.A.; Tortoise Energy Capital Corp.; Swank Capital, LLC; Salient MLP & Energy Infrastructure Fund; Managed Portfolio Series; Tortoise Direct Opportunities Fund, LP",0.0
Crestwood Corp,"Crestwood Midstream Partners, LLC",
Smithtown Energy Partners LP,Pacific Energy Partners LP,0.0
Huntley Power LLC,"Reliant Energy Power Supply, LLC",0.0
Alta Wind III LLC,"Alta Wind I, LLC",
Renaissance Power LLC,"Onslow Power Producers, LLC",0.0
NRG Solar Arrowhead LLC,NRG Renew LLC; NRG Solar DG LLC,
"FGE Power, LLC",Montville Power LLC,0.0
Gilroy Energy Center LLC,Fremont Energy Center LLC,0.0
L. and P. Cirigliano,P P & L RESOURCES INC,0.0
A R Kearney -,A R C DOCUMENTS SOLUTIONS INC,0.0
C B,C B R E GROUP INC,0.0
"Cohen, Andrew",COHEN & STEERS TOTAL RT RL FD IN,0.0
T. S.,T B S INTL LTD,0.0
"Cohen, Andrew",COHEN & STEERS GLBL INC BLDR INC,0.0
Henley,HENLEY LTD PARTNERSHIP,0.0
Charles Grimsley,CHARLES & COLVARD LTD,0.0
James Nehring,JAMES HARDIE INDS N V,0.0
T. V. Lear,T V GUIDE INC,0.0
A. O. Smith,A O L TIME WARNER INC,0.0
a w b,B W A Y CORP,0.0
"james,",JAMES MONROE BANCORP INC,0.0
LTD -,BELLATRIX EXPLORATION LTD,0.0
"First Community Bank of Kingsville, TX",FIRST COMMUNITY BANCORP,
"Foster, William",FOSTER WHEELER LTD,0.0
R.F. Ziesing,F R P PROPERTIES INC,0.0
michael sobel,MICHAEL KORS HOLDINGS LIMITED,0.0
Whiting,WHITING U S A TRUST I,0.0
Household,HOUSEHOLD INTERNATIONAL INC,
C I,C I G N A HIGH INCOME SHS,0.0
R.F. Ziesing,R F MONOLITHICS INC,0.0
C N,C N B FINANCIAL,0.0
S. E. Clark,E S C O ELECTRONICS CORP,0.0
Charles Craver,CHARLES RIVER ASSOC INC,0.0
M. D. Kansas,M D I ENTERTAINMENT INC,0.0
"T&W Block Co., Inc.",W & T OFFSHORE INC,0.0
Inc. - Sage,SAGE THERAPEUTICS INC,
D. M. Sanchez,D M C GLOBAL INC,0.0
C I,I C O S CORP,0.0
C Y,C Y S INVESTMENTS INC,0.0
C F,C F W COMMUNICATIONS CO,0.0
JOHN TRUSHEL,JOHN HANCOCK E T F TR,0.0
Harbor,HARBOR ACQUISITION CORP,0.0
C D,C D W CORP NEW,0.0
C K,C K WITCO CORP,0.0
", North",NORTH AMERICAN INSUR LEADERS INC,0.0
MARK:,MARK IV INDUSTRIES INC,0.0
", douglas",DOUGLAS EMMETT INC,0.0
First Financial Services,FIRST FINANCIAL BANCORP OHIO,
Rose Poels,ROSE ROCK MIDSTREAM L P,0.0
Inc. Cincinnati,CINCINNATI BELL INC NEW,0.0
Gulf Fishermen,GULF CANADA RESOURCES LTD,0.0
M O Thomas,O M ASSET MANAGEMENT PLC,0.0
"m, j",J M P GROUP LLC,0.0
T. O'Brien,T O R MINERALS INTL INC,0.0
Focus Inc.,SPROTT FOCUS TRUST INC,0.0
", North",NORTH COUNTY BANCORP,0.0
"m, g",M G C COMMUNICATIONS INC,0.0
"m, g",M G M MIRAGE,0.0
Gaming,GAMING PARTNERS INTL CORP,0.0
"Kipp A. Coddington, Mowrey Meezan Coddington Cloud LLP on behalf of North American Carbon Capture",A B C N A C O INC,0.0
Goldman Sachs 2,GOLDMAN SACHS MLP & ENERGY REN F,
Michael Osmers,MICHAEL KORS HOLDINGS LIMITED,0.0
H.L.,L H C GROUP,0.0
"El Paso County, Texas",EL PASO ELECTRIC CO,0.0
Tele Stevens,TELE CELULAR SUL PARTIC S A,0.0
Trina Aurin,TRINA SOLAR LIMITED,0.0
GARDNER,GARDNER DENVER INC,
C I,C I M HIGH YIELD SECURITIES,0.0
"U.S.A., Inc. -",U S A NETWORKS INC,0.0
"L., M.",L M I AEROSPACE INC,0.0
Charles Riddle,CHARLES RIVER ASSOC INC,0.0
H.L.,H L M DESIGN INC,0.0
"m, g",M G E ENERGY INC,0.0
Long Island Science,LONG ISLAND ICED TEA CORP,0.0
Green Lawn Care Corporation,GREEN DOT CORP,0.0
C V,C V R ENERGY,0.0
"Miller, Kayla",MILLER EXPLORATION COMPANY,0.0
Harbor,HARBOR BIOSCIENCES INC,
X. R.,R X I PHARMACEUTICALS CORP NEW,0.0
Kuhlman Corporation,KUHLMAN COMPANY INC,0.0
"U.S.A., Inc. -",U S A EDUCATION INC,0.0
"Charles Lines,",CHARLES & COLVARD LTD,0.0
Pulaski,PULASKI FURNITURE CORP,
Form,FORM HOLDINGS CORP,
p s,P S I TECHNOLOGIES,0.0
Duke Energy.,DUKE ENERGY CORP NEW,1.0
Charles River Laboratories,CHARLES RIVER ASSOC INC,0.0
D.R.S.,D R S TECHNOLOGIES INC,
Pulaski,PULASKI FINANCIAL CORP,0.0
Community Schools,COMMUNITY FIRST BANKING COMPANY,0.0
"Compliance, Eastman Chemical Company",EASTMAN CHEMICAL CO,
Care,CARE CONCEPTS I INC,
DuPont E. I. du Pont de Nemours and Company,DU PONT E I DE NEMOURS & CO,1.0
Great Lakes Anesthesia Associates,GREAT LAKES AVIATION LTD,0.0
J. E. Rehler,J E D OIL INC,0.0
Harbor,HARBOR FLORIDA BANCSHARES INC,
Dean York,DEAN FOODS CO NEW,0.0
A. O. Smith,SMITH A O CORP,
C B,C B T GROUP PUB LTD,0.0
"Williams, Lori",WILLIAMS PIPELINE PARTNERS L P,0.0
Community Schools,COMMUNITY BANK OF NORTHERN VA,0.0
L. E. Schintz,L E C G CORP,0.0
Black Hills Stage Lines,BLACK HILLS CORP,
Cummins -,CUMMINS ENGINE INC,
Helen Denison,HELEN OF TROY LTD,0.0
Care,CARE CONCEPTS INC,
Focus Inc.,FOCUS ENHANCEMENTS INC,
"Williams, Lori",WILLIAMS PARTNERS L P,0.0
J. D. Runkle,J D N REALTY CORP,0.0
River Cooperative,RIVER CITY BANK,0.0
LTD -,NATIONAL AUSTRALIA BK LTD,0.0
W. M. Cook,W M C LTD,0.0
Zions Bancorporation,ZIONS BANCORPORATION,1.0
S. E. Clark,S E I INVESTMENTS COMPANY,0.0
J. and J. Twombly,J & J SNACK FOODS CORP,0.0
Black,BLACK WARRIOR WIRELINE CORP,0.0
First Financial Services,FIRST FINANCIAL CORP RI,
Move!,MOVE INC,
Stirling Schluessler,STIRLING COOKE BROWN HLDGS LTD,0.0
Care,CARE CAPITAL PROPERTIES INC,
Santa Barbara Inn,SANTA BARBARA RESTAURANT GRP INC,
Focus Inc.,IN FOCUS SYSTEMS INC,0.0
", Eden",EDEN BIOSCIENCE CORP,
_Berger,BERGER HOLDINGS INC,0.0
James Coombs,JAMES RIVER COAL CO,0.0
Green Lawn Care Corporation,GREEN DANIEL CO,0.0
Goldman Sachs 2,GOLDMAN SACHS E T F TRUST,
J. P. Pickren,J P ENERGY PARTNERS LP,0.0
"Spectra Jet, Inc.",SPECTRA PHYSICS LASERS INC,0.0
Michael Hardin,MICHAEL KORS HOLDINGS LIMITED,0.0
Cara,CARA THERAPEUTICS INC,
H.P. McWhirter -,H P L TECHNOLOGIES INC,0.0
G. & R. Valentine,R & G FINANCIAL CORP,0.0
R. D. Reed,R D O EQUIPMENT CO,0.0
H.L.,H L S SYSTEMS INTERNATIONAL LTD,0.0
", North",NORTH VALLEY BANCORP,0.0
Southern Plains Coop,SOUTHERN CO,0.0
Sun Healthcare,SUN INTERNATIONAL HOTELS LTD,0.0
T. V. Lear,T V I CORP NEW,0.0
MARK:,MARK SOLUTIONS INC,0.0
X. R.,R X I PHARMACEUTICALS CORP,0.0
Baldwin and Lyons -,BALDWIN & LYONS INC,1.0
"Mesa Air Lines, Inc.",MESA LABORATORIES INC,0.0
E. A. Stewart,A E S CORP,0.0
"Smith, Evan",SMITH CHARLES E RESDNTL RLTY INC,0.0
"m, g",M G I PROPERTIES,0.0
", N.T.Phc",T N P C INC,0.0
Fort,FORT DEARBORN INCOME SECS INC,0.0
D. N. Whipp,D N B FINANCIAL CORP,0.0
Russell Tye,RUSSELL E T F TRUST,0.0
Environmental Technician,ENVIRONMENTAL POWER CORP,0.0
#NAME?,TURQUOISE HILL RESOURCES LTD,0.0
Sunday Cozzi,SUNDAY COMMUNICATION LTD,0.0
LTD -,KING POWER INTL GRP CO LTD,0.0
#NAME?,INTL TOWER HILL MINES LTD NEW,0.0
Willow:,WILLOW GROVE BANCORP INC NEW,0.0
John Trubia,JOHN HANCOCK E T F TR,0.0
"P.E., Asst. VP, Environmental",P E CORP,
Harbor,HARBOR FEDERAL BANCORP INC,
National Research Center for Women & Families,NATIONAL RESEARCH CORP,0.0
"P.A.W.S., INC. P.A.W.S., INC.",P A S W INC,0.0
I. R. Butler,I R S A INVERSIONES Y REP S A,0.0
"Climate Center and Clean Air Program, Natural Resources Defense Council",C E C RESOURCES LTD,0.0
"Cohen, Andrew",COHEN & STEERS REIT & PFD INC FD,0.0
james:,JAMES MONROE BANCORP INC,0.0
"Cohen, Andrew",COHEN & STEERS INC,0.0
Tim Sheehan -,TIM HELLAS TELECOM S A,0.0
sovereign,SOVEREIGN BANCORP INC,
C I,C I M COMMERCIAL TRUST CORP,0.0
"Kansas City, Kansas",KANSAS CITY SOUTHERN,0.0
#NAME?,WEB COM GROUP INC,0.0
CRAWFORD,CRAWFORD & CO,
Cummins -,CUMMINS INC,
Willow:,WILLOW GROVE BANCORP INC,0.0
", Raven",RAVEN INDUSTRIES INC,
SMITH,SMITH MICRO SOFTWARE INC,0.0
Novo Nordisk Inc -,NOVO NORDISK A S,1.0
Tim Stoffel,TIM HELLAS TELECOM S A,0.0
First Databank,FIRST DATA CORP,
Focus Inc.,NEW FOCUS INC,0.0
", North",NORTH ATLANTIC DRILLING LTD,0.0
", North",NORTH FORK BANCORPORATION NY INC,0.0
"Anthony A. Graham Enterprises, Inc. d/b/a Graham Associates",APOGEE ENTERPRISES INC,0.0
"Smith, E",SMITH CHARLES E RESDNTL RLTY INC,0.0
International Air Association,A S A INTERNATIONAL LTD,0.0
", Dixie",DIXIE GROUP INC,0.0
Kemper Deborah,KEMPER CORP DE,0.0
First Databank,FIRST DATA CORP NEW,
#NAME?,HILL ROM HOLDINGS INC,0.0
Care,CARE COM INC,
Perma-Fix Environmental,PERMA FIX ENVIRONMENTAL SVCS INC,1.0
C K,C K X LANDS INC,0.0
", N.T.Phc",N T R ACQUISITION CO,0.0
St. Mary Sugar Cooperative,ST MARY LAND & EXPLORATION CO,
C K,C K X INC,0.0
#NAME?,HILL INTERNATIONAL INC,0.0
".Resource.Org, Inc.",RESOURCE BANCSHARES MORT GP INC,0.0
"Warren, R",WARREN RESOURCES INC,0.0
"Beverly Contakos,",BEVERLY NATIONAL CORP,0.0
I. R. Butler,I R T PROPERTY CO,0.0
Novo Nordisk Inc -,NOVO NETWORKS INC,
"Premier, Inc., Childs",PREMIER COMMUNITY BANKSHARES INC,0.0
"Perez, Andy",PEREZ COMPANC S A,0.0
"Spectra Jet, Inc.",SPECTRA PHYSICS INC NEW,0.0
C F,C F CORP,0.0
", North",NORTH AMERICAN PALLADIUM LTD,0.0
Circle S,CIRCLE INCOME SHS INC,0.0
"L., M.",L M P REAL ESTATE INCOME FD INC,0.0
#NAME?,FIRST BANCORP P R,0.0
"Southern Title Holding Company, LLC.",SOUTHERN CO,
"NOITA) from Nelson, E. Colette; American Subcontractors Association, Inc. (ASA",C A E INC,0.0
"Integrity Mortgage & Financial Sevices, Inc",INTEGRITY INC,
beverly coxey,BEVERLY NATIONAL CORP,0.0
Gaming,GAMING & LEISURE PROPERTIES INC,0.0
C I,C I S ACQUISITION LTD,0.0
"Tysons Foods, Inc.",TYSON FOODS INC,1.0
"Premier Settlement, Inc.",PREMIER EXHIBITIONS INC,0.0
Massey Cindy,MASSEY ENERGY CO,0.0
C H,C H ENERGY GROUP INC,
Morgan Thomas,MORGAN STANLEY TRUSTS,0.0
H. N. Amirmokri,H N I CORP,0.0
St. Francis Animal Hospice,ST FRANCIS CAPITAL CORP,0.0
Community Savings Bank Iowa,COMMUNITY SAVINGS BNKSHRS INC DE,0.0
"m, g",M G P INGREDIENTS INC,0.0
James Viceconte,JAMES HARDIE INDS N V,0.0
"U.S.A., Inc. -",U S AIRWAYS GROUP INC NEW,0.0
H. N. Amirmokri,H N C SOFTWARE INC,0.0
".Resource.Org, Inc.",RESOURCE AMERICA INC,
Lawrence Bubel,LAWRENCE SAVINGS BANK NEW,0.0
Houston County Electric Cooperative,HOUSTON EXPLORATION CO,0.0
"morgan, mimi:",MORGAN STANLEY EMRG MKTS DOM DBT,0.0
R.B. Geary,R B RUBBER PRODUCTS INC,0.0
"Charles Lines,",CHARLES RIVER LABS INTL INC,0.0
