query_string,candidate_string,old_match,match
Bombardier Transit Corporation,Bombardier Transportation USA,0,1
DELTA PETROLEUM CORPORATION,DELTA PERSON LLC,0,
NEW ENGLAND ELECTRIC,NEW ENGLAND ELEC SYS,0,1
HEALTH SOUTH CORP,Healthy Advice Networks,0,
Economic Development & Tourism,Economic Development Corp/Mariposa Cnty,0,
American Federation of Television and Radio Artists,American Federation of Senior Citizens,0,
ALLIANCE FOR CATHOLIC EDUCATION,Alliance for I-69 Texas,0,
SAN DIEGO ASSN OF GOVERNMENTS,San Diego State Univ Research Foundation,0,
Environmental Energy Alliance of New York LLC,Environmental Energy Capital,0,
CHILDRENS HOSPITAL MEDICAL CENTER FOUNDATION,Children's Hospital Assn,0,
HERCULES CORP,"Hercules Offshore, Inc.",0,
ALABAMA-COUSHATTA TRIBE OF TEXAS,Alabama Gas Corporation,0,
Environment Compliance,Environmental Industry Assns,0,
Cornerstone Government Affairs obo Microsoft Corporation,Cornerstone Government Affairs obo Beam Suntory Inc,0,
Global Technology Systems,Global Technologies Ltd,0,
American Safety Council,American Safety Closure,0,
BLUE CROSS AND BLUE SHIELD OF MASSACHUSETTS,BLUE CROSS AND BLUE SHIELD OF SOUTH CAROLINA,0,
"CENTRAL EUROPEAN MEDIA ENTERPRISES, LTD",CENTRAL EUROPEAN MEDIA ENT LTD,0,
Alaska Public Health Association,Alaska Public Broadcasting,0,
NEW YORK STATE HEALTH FACILITIES ASSN,New York State Assn Of Housing & Renewal,0,
CONFEDERATED TRIBES OF COOS,CONFEDERATED TRIBES OF SILETZ INDIANS,0,
New York State Nurses Association,NEW YORK STATE HIGHER EDUCATION SERVICES CORPORATION,0,
AMERICAN ASSN OF CLINICAL UROLOGISTS,AMERICAN ASSOCIATION OF CLINICAL ENDOCRINOLOGISTS,0,
Clean Energy Capital Fund I LLC,Clean Energy Group Inc,0,
"Kinder Morgan Energy Partners, L.P.","Kinder Morgan , Inc.",0,1
New England Baptist Hospital,"New England Home Therapies, Inc.",0,
LONG ISLAND TEEN CHALLENGE,LONG ISLAND ICED TEA INC,0,
"MONTGOMERY COUNTY, MD DIVISION OF TRANSIT SERVICES","Montgomery County, MD Dept of Transportation",0,1
GOODWILL INDUSTRIES OF ACADIANA INC,GOODWILL INDUSTRIES OF CENTRAL INDIANA INC,0,
GROUP HEALTH NORTHWEST,Group Health Inc,0,
Black Hills/Colorado Elec.Utility Co. LP,Black Hills/Colorado Utility Company LLC,0,1
CALIFORNIA INDEPENDENT PETROLEUM ASSOCIATION,CALIFORNIA INDEPENDENT BANCORP,0,
Drug & Alcohol Testing Industry Association Inc,Drug & Alcohol Testing Industry Assn,0,1
"American Electronics, Inc.",American Electronics Assn,0,
The Livingston Group LLC,The Livingston Group LLC -,0,1
Transcore,TransCOR,0,
St. Mary's Hospital - Green Bay,"ST. MARY'S CHEMICALS, INC.",0,
CAMARA NACIONAL DE LA INDUSTRIA PASQUERA,CAMARA NACL DE LA INDUSTRIA PESQUERA Y AQUACULTURA,0,
"Cornerstone Government Affairs obo CenturyLink, Inc.",Cornerstone Government Affairs obo Citigroup Inc,0,
Health Industry Distributors Association,Health Industry Group Purchasing Assn,0,
Independent Power Producers in,Independent Power Producer,0,
"Energy Resources, City",Energy Resources Corp.,0,
American Feed Industry Association,American Feed Industry Insurance,0,
CHILDRENS HOSPITAL OF WISCONSIN,Children's Hospital/Regional Medical Ctr,0,
"International Health, Racquet & Sportsclub Association",International Health Racquet and Sports Club Association,0,
COALITION FOR FAIR REMEDIES,Coalition for Data Security,0,
BLUE CROSS & BLUE SHIELD OF MINNESOTA,Blue Cross/Blue Shield of Massachusetts,0,
Renewable Energy Services of Ohio LLC,RENEWABLE ENERGY GROUP INC,0,
ST FRANCIS MEDICAL GROUP,ST FRANCIS MEDICAL CENTER,0,
ADVANCED CERAMICS RESEARCH,Advanced Search Laboratories,0,
San Bernardino Valley Water Conservation District,San Bernardino Valley Munic Water Dist,0,
AMERICAN SOCIETY OF MECHANICAL ENGINEERS,AMERICAN SOCIETY FOR REPRODUCTIVE MED,0,
BOARD OF COMMISSIONERS OF DADE COUNTY,BOARD OF COMMISSIONERS OF DEARBORN COUNTY,0,
GEORGETOWN UNIV MEDICAL CENTER,GEORGETOWN UNIVERSITY,0,
ROCKY MOUNTAIN SUGAR GROWERS COOPERATIVE,Rocky Mountain Energy Center LLC,0,
DEFENSE TECHNOLOGIES INC,DefenseCS Inc,0,
Alliance Data,Alliance Forest Products Inc,0,
Independent Oil & Gas Association of West Virginia.,Independent Insurance Agents & Brokers of America,0,
"OFFICE OF THE GOVERNOR, COMMONWEALTH OF MASSACHUSETTS",OFFICE OF THE GOVERNOR OF ARKANSAS,0,
LIVINGSTON INTERNATIONAL INCOME FUND,Livingston International,0,
GOODWILL INDUSTRIES OF NORTH FLORIDA,Goodwill Industries/Metro Chicago,0,
BLUE CROSS BLUE SHIELD OF TN,Blue Cross/Blue Shield of Massachusetts,0,
FOREST CITY RATNER,"FOREST CITY STAPLETON, INC.",0,
Board of Commissioners of Allen County,Board of Commissioners of Shelby County Indiana,0,
City of Nacogdoches,City of Nacogdoches TX,0,
ADVANCED ACQUISTION INC,ADVANCED TISSUE SCIENCES INC,0,
AMERICAN HOME FURNISHINGS ALLIANCE,AMERICAN HOME FURNISHINGS & BUILDING,0,
FRANKLIN COUNTY IDAHO,FRANKLIN COUNTY CDC,0,
West Virginia University Research Corporation,West Virginia University Hospital,0,
SAN JOAQUIN AREA FLOOD AGENCY,SAN JOAQUIN RIVER EXCHANGE CONTRACTORS,0,
GOVERNMENT TECHNOLOGY SERVICES,GOVERNMENT TECHNOLOGY SVCS INC,0,
BLUE CROSS BLUE SHIELD OF MISSISSIPPI,BLUE CROSS BLUE SHIELD OF SOUTH CAROLINA,0,
ENVIRONMENTAL RESEARCH INST OF MICHIGAN,ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE INC,0,
University of Pennsylvania Libraries,University of Pennsylvania Health System,0,
Kansas City Board of Public Utilitiy,Kansas City Power & Light,0,
NORTH SHORE UNIV HOSPITAL - PLAINVIEW,North Shore Univ Hospital Glen Cove,0,
Electronic Systems Products,Electronic Systems Protection,0,
Three Rivers Schools,Three Rivers Holdings  ,0,
AMERICAN STANDARD ROOFING,AMERICAN STANDARD COMPANIES,0,
Honeywell International Flight Operations,Honeywell International,0,
CHILDRENS HOSPITAL LOS ANGELES,Children's Hospital Association,0,
TECHNOLOGY NETWORK STOCK OPTION COALITION,TECHNOLOGY COLLABORATIVE,0,
MICHIGAN CABLE TELECOMMUNICATIONS ASSN,Michigan Apple Cmte,0,
"Pacific Biosciences, Inc.",Pacific Bioscience Laboratories,0,
VIRGINIA COMMONWEALTH UNIV,VIRGINIA COMMONWEALTH FIN CORP,0,
Communication Workers of America AFL,Communications Workers of America,0,
WorldVu Development LLC for OneWeb,WorldVu Development LLC,0,
PENNSYLVANIA WINERY ASSOCATION,PENNSYLVANIA ENVIRONMENTAL COUNCIL,0,
Environmental Technician,Environmental Technologies Corp,0,
"Office of the Governor, State of Rhode Island",Office of the Governor of Massachusetts,0,
ENERGY & ENVIRONMENT COALITION,Energy & Environmental Building Assn,0,
COMMUNITY HOSPITAL TELEHEALTH CONSORTIUM,Community Health Charities,0,
DELTA PETROLEUM CORP,DELTA PERSON LLC,0,
AMERICAN SOCIETY FOR TRAINING & DEVELOPMENT,AMERICAN SOCIETY FOR DERMATOLOGIC SURGERY ASSOCIATION,0,
CONFEDERATED TRIBES OF THE SILETZ RESERVATION,CONFEDERATED TRIBES -WARM SPRINGS RESERVATION OR,0,
American Society for Health Informatics Managers,American Society for Blood & Marrow Transplant,0,
HEALTH INDUSTRY GROUP PURCHASING ASSN,HEALTH INDUSTRY DISTRIBUTORS ASSOCIATION,0,
Blue Cross and Blue Shield of South Carolina,Blue Cross and Blue Shield of Kansas Inc,0,
Reliant Energy Sabine Texas Inc,Reliant Energy Retail Services LLC,0,
LOCKHEED MARTIN ACULIGHT CORPORATION,LOCKHEED MARTIN IDAHO TECHNOLOGIES,0,
KETCHIKAN INDIAN COMMUNITY,KETCHIKAN INDIAN CORP,0,
DRUG & ALCOHOL TESTING INDUSTRY ASSN,DRUG & ALCOHOL TESTING INDUSTRY ASSOCIATION INC,0,
INNOVATIVE BUSINESS SOLUTIONS INC,INNOVATIVE COS INC,0,
Environmental Consulting,Environmental Consultancy,0,
COMMUNITY HOSPITAL TELE HEALTH CONSORTIUM,Community Health Charities,0,
Environmental Management Institute Inc.,Environmental Management Corporation,0,
ACCESS SERVICES INCORPORATED,ACCESS INTEGRATED TECHNLGS INC,0,
Administrative Services Officer II,"Administrative Services Group, Inc.",0,
PENNSYLVANIA TURNPIKE COMMISSION,Pennsylvania Bio,0,
"Greater Orlando Aviation Authority, FL",Greater Orlando Airport Authority,0,
NEW YORK STATE RELIABILITY COUNCIL,NEW YORK STATE CANAL CORPORATION,0,
ST LOUIS COUNTY ECONOMIC COUNCIL,St Louis Children's Aquarium,0,
PARTNERSHIP FOR CUSTOMER CHOICE,PARTNERSHIP FOR CONSERVATION,0,
Valero Refining Co,Valero Refining Company,0,
CENTRAL MICHIGAN UNIV,Central and South West Services Inc,0,
MONTGOMERY COUNTY MD DIVISION OF TRANSPORTATION,"Montgomery County, MD Dept of Transportation",0,
"The Livingston Group, LLC",The Livingston Group LLC -,0,
Advanced Medical Technology,Advanced Medical Optics,0,
ENVIRONMENTAL COMPANY INC,Environmental Chemical Corp,0,
FEDERAL HOME LOAN BANK OF SEATTLE,Federal Home Loan Mortgage Corporation,0,
AMERICAN BANKERS ASSN SECURITIES ASSN,AMERICAN BANKERS ASSN CARD POLICY COUNCIL,0,
FORT BEND INDEPENDENT SCHOOL DISTRICT,Fort Bend Co/Levee Improvement Dist 2,0,
Coalition for Competitive Access to Content,Coalition for Comprehensive Imm Reform,0,
JOHN HANCOCK LIFE INSURANCE CO USA,JOHN HANCOCK LIFE INSUANCE CO,0,
CITIZENS FOR SOCIAL REFORM,Citizens for Health,0,
CHILDRENS HOSPITAL & MEDICAL CENTER,Children's Hospital Assn of Texas,0,
BLUE CROSS BLUE SHIELD OF GEORGIA,BLUE CROSS BLUE SHIELD OF FLORIDA,0,
CONNECTICUT ALLIANCE AGAINST CASINO EXPANSION,Connections Academy,0,
Institute for Legal Reform,Institute for Entrepreneurship,0,
AMERICAN CANCER SOCIETY ACTION NETWORK,AMERICAN CANCER SOCIETY/SOUTH ATLANTIC,0,
FLORIDA HOSPITAL FISH MEMORIAL,Florida Hospital Foundation,0,
L-3 COMMUNICATIONS ANALYTICS CORP,L-3 Communications Aviation Recorder Div,0,
TENNESSEE PUBLIC TRANSPORTATION ASSN,Tennessee Christian Medical Ctr/Madison,0,
BLUE CROSS AND BLUE SHIELD ASSOCIATION,BLUE CROSS AND BLUE SHIELD OF SOUTH CAROLINA,0,
HOME BUILDERS ASSN OF NO CALIFORNIA,Home Builders Assn of Central Arizona,0,
NBC AFFILIATES BOARD,NBC Affiliates,0,
NEW YORK STATE ENERGY RESEARCH AND DEVELOPMENT AUTHORITY,New York State Electric & Gas Corporation,0,
BLUE CROSS & BLUE SHIELD OF FLORIDA,Blue Cross/Blue Shield of Massachusetts,0,
VISITING NURSE ASSOCIATION,VISITING NURSE ASSN OH,0,
ALLIANCE FOR ADVANCING NONPROFIT HEALTH CARE,ALLIANCE FOR ADVANCING NONPROF HLTHCARE,0,
TECHNOLOGY MANAGEMENT CONSULTING SERVICES,Technology Management Inc,0,
CHILDRENS HOSPITAL MEDICAL CENTER OF AKRON,Children's Hospital Assn of Texas,0,
Alliance for Advancing Nonprofit Health Care,Alliance for Advancing Nonprof Hlthcare,0,
Independent Living Resource,Independent Living Aids,0,
Environmental Nuclear Council,Environmental Industry Assns,0,
NEXT GENERATION LIGHTING INITIATIVE COALITION,NEXT GENERATION NUCLEAR PLANT IND ALLIANCE,0,
MONTGOMERY COUNTY GOVERNMENT STATE OF MARYLAND,MONTGOMERY DIVISION OF TRANSPORTATION,0,
ILLINOIS AGRICULTURAL ASSOCIATION,Illinois Soybean Assn,0,
Economic Development Commission of Charles County,Economic Development Council of Bloomington-Normal,0,
Technology & Applied Sciences,Technology Solutions Co,0,
EVERGREEN PARTNERS,Evergreen America,0,
L-3 Communications Corp,L-3 Communications Avisys,0,
GOODWILL INDUSTRIES OF SOUTHERN NEVADA,GOODWILL INDUSTRIES/METRO CHICAGO,0,
COALITION FOR OFCCP REFORM,COALITION FOR HEALTHCARE FINANCING,0,
Tampa Electric Company's,Tampa Electric Company,0,
SPECTRUM HEALTHCARE RESOURCES,Spectrum Aeronautical,0,
NEW YORK MECANTILE EXCHAGE,"New York MDS, Inc.",0,
LOCKHEED MARTIN SPACE OPERATIONS CO,Lockheed Martin Information Technology,0,
ALLIANCE FOR FOOD AID,Alliance for Justice,0,
PUBLIC SERVICE CO OF CO,PUBLIC SERVICE CO NM,0,
FRESENIUS MEDICAL CARE,FRESENIUS MEDICAL CARE AG,0,
MIDAMERICAN ENERGY HOLDINGS COMPANY,MIDAMERICAN ENERGY HLDGS CO NEW,0,
ALABAMA-COUSHATTA TRIBE,Alabama Southern Community College,0,
Environmental Service Learning Initiative,Environmental Waste International Inc,0,
Performant Financial Corporation,Performance Show Horse Assn,0,
Program on International Financial Systems of Harvard Law School,Program on Intl Financial Systems/Harvard Law,0,
CAPITAL PARTNERSHIPS,CAPITAL PARTNERSHIPS VA INC,0,
American Academy of Home Care Physicians,American Academy of Orthopaedic Surgeons,0,
"ADVANCED TECHNOLOGY SERVICES, INC.",Advanced Mechanical Products,0,
UNIVERSAL BROADCASTING OF NY,UNIVERSAL BROADBAND NETWORKS INC,0,
CLEAR CHANNEL OUTDOOR INC,Clear Channel Communications,0,
"Quantum Technologies, Inc.",QuantumSphere Inc,0,
Advanced Cerametrics Incorporated,Advanced Search Laboratories,0,
"ORANGE COUTY, CALIFORNIA","Orange-Co, LP",0,
INDUSTRIAL DEVELOPMENT AUTHORITY OF MARTIN COUNTY,INDUSTRIAL DEV AUTH OF NEWPORT NEWS VA,0,
WILLIAMS COMPANIES,"Williams, Russell & Johnson",0,
WISCONSIN VALLEY IMPROVEMENT CO,Wisconsin Electric Power,0,
Power Resources Coopeative,"Power Resources, Inc.",0,
"Kinder Morgan CO2 Company, L.P.",Kinder Morgan Bulk Terminals,0,
CALIFORNIA COMMUNITY COLLEGES,California Internet Poker,0,
ULTRA ELECTRONICS PRECISION AIR SYSTEMS,Ultra Electronics ProLogic,0,
TRANSCOR,TRANSCORE,0,
ADVANCED POWER SYSTEMS INTL INC,Advanced Optics Electronics,0,
CALIFORNIA CLING PEACH GROWERS ADVISORY BOARD,CALIFORNIA PIZZA KITCHEN INC,0,
"AMERICAN CANCER SOCIETY, SOUTH ATLANTIC DIVISION",American Cancer Society/Great West Div,0,
LOCKHEED MARTIN GLOBAL TELECOMMUNICATIONS,LOCKHEED MARTIN FAIRCHILD SYSTEMS,0,
"Environmental Energy Alliance of New York, LLC",Environmental Energy Capital,0,
CHILDRENS HOSPITAL OF PITTSBURGH,CHILDRENS HOSPITAL & HEALTH CENTER SAN DIEGO,0,
Visiting Nurses Associations of America,Visiting Nurse Assn/Manchester & S NH,0,
TEVA PHARMACEUTICALS LTD,TEVA PHARMACEUTICAL INDS LTD,0,
Pharmaceutical Care Management Association,Pharmaceutical Marketing Research Group,0,
Renewable Energy Marketers Assn,RENEWABLE ENERGY SERVICES LTD,0,
Goodwill Industries of Metropolitan Chicago,Goodwill Industries/Sacramento Valley,0,
COALITION FOR ASBESTOS JUSTICE INC,Coalition for Breathing Safety,0,
CHILDREN'S AID SOCIETY,"CHILDREN'S CAUSE FOR CANCER ADVOCACY, Inc.",0,
AMERICAN COUNCIL FOR VOLUNTARY INTERNATIONAL ACTION,AMERICAN COUNCILS FOR INTL EDUCATION: ACTR/ACCELS,0,
BOYS & GIRLS CLUB OF AMERICA,BOYS & GIRLS HOMES/NC,0,
CONSOLIDATED NORTH ST CHARLES CO LEVEE DIST,CONSOLIDATED NATURAL GAS,0,
Public Service Co of NH,Public Service Co Of Colo,0,
FEDERAL HOME LOAN BANK OF INDIANAPOLIS,FEDERAL HOME LOAN BANK OF CHICAGO,0,
"Professional Software Engineering, Inc.",Professional Golfers Assn of America,0,
WESTERN PETROLEUM COMPANY,Western Peanut Growers Assn,0,
"CITY OF DES MOINES, IA",CITY OF DES MOINES WA,0,
CENTER FOR RESEARCH ON INSTITUTIONS & SOCIAL POLICY,Center for Responsible Learning,0,
CALIFORNIA STATE UNIV,CALIFORNIA STATE UNIVERSITY MONTEREY BAY,0,
COLORADO SPRINGS REGIONAL BUSINESS ALLIANCE,Colorado Springs Public Works Group,0,
Blue Cross And Blue Shield Association,Blue Cross and Blue Shield of Kansas Inc,0,
American Society for Nuclear Cardiology,American Society for Industrial Security,0,
California Coastal Commission,California Coastal Communities Inc,0,
COLORADO RIVER ENERGY DISTRIBUTORS ASSN,Colorado River Commission of Nevada,0,
City of Orange Cove,City of Orange CA,0,
"NextEra Energy Canada, ULC","NextEra Energy, Inc.",0,
Helix Energy Solutions Group,Helix Energy Solutions,0,
American Academy of Home care Physicians,American Academy of Orthopaedic Surgeons,0,
Cleveland Heights,Cleveland Clinic,0,
GOODWILL INDUSTRIES OF HOUSTON,GOODWILL INDUSTRIES/METRO CHICAGO,0,
Children's Environmental Health Subcommittee,Children's Environmental Health Network,0,
CALIFORNIA POULTRY INDUSTRY FOUNDATION,CALIFORNIA PIZZA KITCHEN INC,0,
Kansas City Power & Light COmpany,Kansas City Southern Industries,0,
CENTER FOR APPLIED RESEARCH,Center for Aging Policy,0,
NEW JERSEY INSTITUTE FOR TECHNOLOGY,NEW JERSEY COMMUNITY DEVELOPMENT CORP,0,
Spokane Indian Tribe,"Spokane County, WA",0,
SPECTRUM HEALTHCARE REOURCES,Spectrum Aeronautical,0,
Power Resources Cooperative,"Power Resources, Inc.",0,
Children's Cause Cancer Advocacy,Children's Home Society of Florida,0,
Global Tel* Link,Global Secure Systems,0,
Independent Bankers Assn,Independent Health Assn,0,
Rocky Mountain Energy Council,Rocky Mountain Energy Corp.,0,
"BOYS & GIRLS CLUB OF PITT COUNTY, INC.",BOYS & GIRLS CLUB OF ALEXANDRIA VA,0,
TRANSPORTATION CORRIDOR AGENCY,Transportation Intermediaries Assoc,0,
TRANSPORTATION CORRIDOR AGENCIES,Transportation Intermediaries Assoc,0,
AMERICAN COLLEGE OF CARDIOLOGY,AMERICAN COLLEGE OF RADIOLOGY,0,
KINDER MORGAN CO2 COMPANY LP,KINDER MORGAN PETCOKE L P,0,
Construction Industry Roundtable,Construction Industry Round Table,0,
"Marathon Petroleum Hibernia, Ltd.",Marathon Petroleum Investment Ltd,0,
MONTGOMERY WATSON,MONTGOMERY WARD,0,
GEOTHERMAL TAX GROUP,"Geothermal Resource Group, Inc.",0,
Midwest Wind Energy Development Group LLC,"Midwest Wind Energy, LLC",0,
CELLULAR COMMISSION EXPENSE COALITION,Cellular South,0,
"American Federartion of Homecare Providers, Inc.",American Federation of Teachers,0,
Alliance for Limited Government,Alliance for Food Aid,0,
AMERICAN COLLEGE OF OCCUPATIONAL & ENVIRONMENTAL M,American College of Foot & Ankle Surgeon,0,
"Proengin, Inc.",ProEnglish.org,0,
American Forest and Paper,American Forest Products,0,
"LOCKHEED MARTIN CORP, GOVERNMENT ELECTRONICS SYSTEMS",Lockheed Martin Naval Elec & Surv,0,
JEFFERSON COUNTY COMMISSION,JEFFERSON COUNTY AL,0,
TOWN OF RAMAPO NY,"TOWN OF RAMAPO, NJ",0,
Crossborder Development Corporation,Crossroads Wireless Inc,0,
"NXP Semiconductors USA, Inc.",NXP Semiconductors NV,0,
Public Service Department,Public Service Enterprise Group,0,
Environmental Health and Safety,"Environmental Protection Services, Inc.",0,
Blue Cross and Blue Shield Association,Blue Cross and Blue Shield of Kansas Inc,0,
CENTER FOR HEALTHCARE INFORMATION MANAGEMENT,Center for Reproductive Law & Policy,0,
CALIFORNIA DEPARTMENT OF INSURANCE,CALIFORNIA PV ENERGY LLC,0,
Air Transport Association,Air Transport Assn of Canada,0,
MORGAN STANLEY & CO LLC,MORGAN STANLEY TRUSTS,0,
EDUCATIONAL TESTING SERVICES INC,EDUCATIONAL SERVICES OF AMERICA INC,0,
CAMBRIDGE HEALTH ALLIANCE,Cambridge College,0,
CENTER FOR CHILDREN'S LAW AND POLICY,Center for Science in the Public Interest,0,
"Telecommunications Technology, Inc.",Telecommunications Coalition,0,
BON SECOURS RICHMOND HEALTH SYSTEM,Bon Secours Charity Health System,0,
Environment & Safety Engineering,"ENVIRONMENT,  NRG ENERGY, INC.",0,
ALLIANCE FOR MICROBICIDE DEVELOPMENT,ALLIANCE FOR CONSUMER EDUCATION,0,
GEORGIA TECHNOLOGY RESEARCH INSTITUTE,GEORGIA REPTILE SOCIETY,0,
MORRIS K. UDALL FOUNDATION,Morris & McDaniel,0,
General Coatings,General Compression Inc,0,
INSTITUTE FOR ENTREPRENEURSHIP,INSTITUTE FOR LEGAL REFORM,0,
Viking Energy Corp,Viking Energy Limited,0,
Providence Health System,Providence Health System/Alaska,0,
AMERICAN COLLEGE OF CLINICAL PHARMACY,American College of Mohs Surgery,0,
California Forestry Assoc.,California Forestry Assn,0,
American Financial Services Association,American Financial Enterprises Inc,0,
ALLIANCE FOR DOWNTOWN NEW YORK,Alliance for Intl Educ/Cultural Exchange,0,
AMERICAN ASSN OF COLLEGES OF OSTEOPATHIC MEDICINE,American Assn of Colleges for Teacher Education,0,
Environmental Law,Environmental Co,0,
"Phillips & Jordan, Inc.",Phillips 66 Capital II,0,
VIETNAM VETERANS INSTITUTE,Vietnam Veterans Leadership Program,0,
APPLIED ANALYTICS GROUP,APPLIED ANALYTICAL IND INC,0,
CENTER FOR EMERGING TECHNOLOGY,CENTER FOR REGULATORY EFFECTIVENESS,0,
Independent Bankers of Colorado,Independent Bankshares Inc,0,
CONSUMERS FOR DENTAL CHOICE,CONSUMERS FOR WORLD TRADE,0,
CH2M HILL COMPANIES LTD,CH2M HILL Portland,0,
CHILDRENS HOSP BOSTON,Children's Healthcare of Atlanta,0,
Great Lakes,Great Lakes Tissue Co,0,
Louisiana Energy Users Group,Louisiana Energy Services,0,
Transamerica Companies,Transamerica Corridor,0,
BLUE CROSS BLUE SHIELD OF ALABAMA,BLUE CROSS AND BLUE SHIELD OF FLORIDA INC,0,
CENTRAL POWER & LIGHT CO,"CENTRAL POWER ELECTRIC COOPERATIVE, INC.",0,
Florida Public Service Commission,Florida Institute of Technology,0,
Environmental Common Sense,ENVIRONMENTAL COMMUNICATIONS,0,
CALIFORNIA INDEPENDENT SYSTEM OPERATOR,CALIFORNIA INDEPENDENT BANCORP,0,
WILLIAM-LYNN-JAMES INC,Williams Syndrome Assn,0,
LOCKHEED MARTIN AIR TRAFFIC MANAGEMENT,LOCKHEED MARTIN TACTICAL SYSTEMS,0,
Franklin County CDC,"Franklin County, ID",0,
Colorado River Energy Distributors Association,Colorado River Water Conservation Dist,0,
MEDICAL UNIV HOSPITAL AUTHORITY,MEDICAL COLLEGE OF WISCONSIN,0,
CHILDRENS HOSPITAL & RESEARCH CENTER,CHILDRENS HOSPITAL & HEALTH CENTER SAN DIEGO,0,
Lower Platte South Natural Resources District,Lower Platte N Natural Resources District,0,
Georgia ADAPT,Georgia Pecan Growers Assn,0,
AMERICAN SOCIETY FOR THERAPEUTIC RADIOLOGY & ONCOLOGY,AMERICAN SOCIETY FOR HEALTH INFORMATICS MANAGERS,0,
ILLINOIS COMMUNITY COLLEGE BOARD,ILLINOIS INSTITUTE OF TECHNOLOGY,0,
"Preservation Action, Inc.",Preservation Ranch LLC,0,
L-3 Communications Corporation,L-3 Communications Analytics,0,
Cornerstone Government Affairs obo BNSF Railway Company,Cornerstone Government Affairs obo Stupp Brothers Inc,0,
NEW YORK CITY COUNCIL,NEW YORK CHIROPRACTIC,0,
LOCKHEED MARTIN AERONAUTICAL SYSTEMS GROUP,Lockheed Martin Overseas Corp,0,
GEORGETOWN SPECIAL TAXING DISTRICT,GEORGETOWN SAND & GRAVEL,0,
L-3 COMMUNICATIONS CORP,L-3 Communications/Systems West,0,
NEW YORK STATE HOUSING FINANCE AGENCY,NEW YORK STATE PUBLIC EMPLOYEES FEDN,0,
"MONTGOMERY COUNTY, MARYLAND GOVERNMENT",MONTGOMERY FINANCIAL CORP,0,
CALIFORNIA AMERICAN WATER,California State Lands Commission,0,
GOODWILL INDUSTRIES OF SEW,GOODWILL INDUSTRIES INC,0,
MEDICAL COLLEGE OF VIRGINIA,MEDICAL COLLEGE OF WISCONSIN,0,
California children's health coverage coalition,California Consulting,0,
PENNSYLVANIA COLLEGE OF OPTOMETRY,PENNSYLVANIA CONVENTION CENTER AUTHORITY,0,
CALIFORNIA STATE UNIVERSITY AT LONG BEACH,CALIFORNIA STATE UNIVERSITY MONTEREY BAY,0,
Robert C,Robert P,0,
INFORMATION MANUFACTURING CORPORATION,Information Systems Support Inc,0,
Advanced Acquistion Inc.,ADVANCED TISSUE SCIENCES INC,0,
California Business Bank,California Hospital Medical Center Found,0,
American Society of Health System Pharmacists,American Society of Anesthesiologists,0,
Alliance for Early Childhood Finance,Alliance for Solar Choice,0,
COALITION FOR AFFORDABLE & RELIABLE HEALTH CARE,COALITION FOR AFFORDABLE HEALTH COVERAGE,0,
Environmental Technical Service,Environmental Technologies USA Inc,0,
ROCKFORD AREA CONVENTION & VISITORS BUREAU,Rockford Health System,0,
CALIFORNIA  ASSN FOR ADULT DAY SERVICES,California Sealift Terminals,0,
WRITERS GUILD OF AMERICA,"WRITERS GUILD OF AMERICA, WEST",0,
UNIVERSITY OF MARYLAND EASTERN SHORE,UNIVERSITY OF MARYLAND MEDICAL SYSTEM CORPORATION,0,
"HOWARD-GM, INC.","Howard-GM II, Inc.",0,
Phillips 66 - Los Angeles,Phillips 66 Capital II,0,
SOUTHAMPTON HOSPITAL,SOUTHAMPTON PHOTONICS,0,
North Carolina Electric Member Corp,North Carolina Electric Membership Corp,0,
CALIFORNIA RESTAURANT ASSN,California State Coastal Conservancy,0,
ALLEGHENY POWER SYSTEMS,ALLEGHENY TECHNOLOGIES INC,0,
FOUNDATION FOR THE NATIVITY & MIGUEL SCHOOLS,FOUNDATION FOR THE CAROLINAS,0,
Columbia Bank,COLUMBIA BANCORP,0,
LOCKHEED MARTIN MISSLES & FIRE CONTROL -- ORLANDO,Lockheed Martin Naval Elec & Surv,0,
River Valley Transit,River Valley Regional Intermodal Auth,0,
Allegheny Energy SupplyWheatld,"Allegheny Energy, Inc.",0,
COLORADO HOSPITAL ASSOCIATION,Colorado Health Insurance Cooperative,0,
Clean Energy Works,Clean Energy Group,0,
ALLIANCE FOR SAFE INJECTION PRACTICES,Alliance for American Innovation,0,
American Psychiatric Association,American Psychiatric Nurses Assn,0,
Western Regional Environmental Office,"Western Refining Southwest, Inc.",0,
Covenant Transport Group,COVENANT TRANSPORT,0,
Jefferson County Commission,"Jefferson County, AL",0,
HEARTLAND COMMUNICATIONS & MANAGEMENT,Heartland Rural Electric Membership Corporation,0,
Montgomery County Homeless Solutions,Montgomery County Hospital District,0,
ENVIRONMENTAL DISPOSAL SYSTEMS,Environmental Vehicle Rental,0,
FLORIDA MUNICPAL ELECTRIC ASSOCIATION,Florida Municipal Power Agency,0,
FRONTIER POLYMERS,Frontier Technology,0,
HIGHSTAR CAPITAL,Highstar Capital IV,0,
ROCKDALE COUNTY BOARD OF COMMISSIONERS,"Rockdale County, GA",0,
INDEPENDENT PHYSICAL THERAPISTS OF AMERICA,Independent Bankshares Inc,0,
ELECTRONIC MANUALS INC,Electronic Tele-Communications Inc.,0,
